Accession_number	Protein_name	Relevant_GO_ID	GO_category	Definition	Other_GO_IDs
A8MUP2	Citrate synthase-lysine N-methyltransferase CSKMT, mitochondrial	GO:0005759	cellular_component	"The gel-like material, with considerable fine structure, that lies in the matrix space, or lumen, of a mitochondrion. It contains the enzymes of the tricarboxylic acid cycle and, in some organisms, the enzymes concerned with fatty acid oxidation." [GOC:as, ISBN:0198506732]	{'GO:0018026', 'GO:0018023', 'GO:0016279', 'GO:0016278', 'GO:0005739', 'GO:0018027', 'GO:0005759', 'GO:0006099', 'GO:0005515'}
O14618	Copper chaperone for superoxide dismutase	GO:0034599	biological_process	"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of oxidative stress, a state often resulting from exposure to high levels of reactive oxygen species, e.g. superoxide anions, hydrogen peroxide (H2O2), and hydroxyl radicals." [GOC:mah]	{'GO:0051604', 'GO:0015035', 'GO:0045296', 'GO:1902694', 'GO:0045041', 'GO:0019430', 'GO:0016532', 'GO:0005737', 'GO:0005739', 'GO:0005758', 'GO:0006801', 'GO:0005829', 'GO:0046872', 'GO:0005634', 'GO:0005515', 'GO:0005507', 'GO:0034599'}
O75106	Amine oxidase [copper-containing] 2	GO:0009055	molecular_function	"A molecular function representing the directed movement of electrons from one molecular entity to another, typically mediated by electron carriers or acceptors, resulting in the transfer of energy and/or the reduction-oxidation (redox) transformation of chemical species. This activity is fundamental to various biological processes, including cellular respiration and photosynthesis, as well as numerous enzymatic reactions involved in metabolic pathways." [Wikipedia:Electron_transfer]	{'GO:0006805', 'GO:0048038', 'GO:0005737', 'GO:0007601', 'GO:0008131', 'GO:0005515', 'GO:0009055', 'GO:0005886', 'GO:0005507', 'GO:0009308'}
P07202	Thyroid peroxidase	GO:0006979	biological_process	"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of oxidative stress, a state often resulting from exposure to high levels of reactive oxygen species, e.g. superoxide anions, hydrogen peroxide (H2O2), and hydroxyl radicals." [GOC:jl, PMID:12115731]	{'GO:0005509', 'GO:0009986', 'GO:0005576', 'GO:0006979', 'GO:0035162', 'GO:0006590', 'GO:0098869', 'GO:0004601', 'GO:0004447', 'GO:0005886', 'GO:0016020', 'GO:0020037'}
P08253	72 kDa type IV collagenase	GO:0006979	biological_process	"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of oxidative stress, a state often resulting from exposure to high levels of reactive oxygen species, e.g. superoxide anions, hydrogen peroxide (H2O2), and hydroxyl radicals." [GOC:jl, PMID:12115731]	{'GO:0007567', 'GO:0007507', 'GO:0055093', 'GO:0030574', 'GO:1903378', 'GO:0035987', 'GO:0034097', 'GO:0071347', 'GO:0001542', 'GO:0060740', 'GO:0048246', 'GO:0071392', 'GO:0071345', 'GO:0097179', 'GO:0016020', 'GO:0071498', 'GO:0061450', 'GO:0008237', 'GO:0007162', 'GO:0006979', 'GO:0030163', 'GO:0001666', 'GO:0035094', 'GO:0001968', 'GO:0005739', 'GO:0008233', 'GO:0022617', 'GO:0005634', 'GO:0006508', 'GO:0048013', 'GO:0005886', 'GO:0005515', 'GO:0071492', 'GO:0008270', 'GO:0005576', 'GO:1904707', 'GO:0043065', 'GO:0016477', 'GO:0045906', 'GO:0042542', 'GO:0043627', 'GO:0014012', 'GO:0004222', 'GO:0031012', 'GO:0001553', 'GO:0032526', 'GO:0004175', 'GO:0009410', 'GO:0001541', 'GO:0030198', 'GO:0051602', 'GO:0005737', 'GO:0048771', 'GO:0007565', 'GO:1904645', 'GO:1905049', 'GO:0009612', 'GO:0030335', 'GO:0001525', 'GO:0014823', 'GO:0030017', 'GO:0004252'}
P13284	Gamma-interferon-inducible lysosomal thiol reductase	GO:0016667	molecular_function	"Catalysis of an oxidation-reduction (redox) reaction in which a sulfur-containing group acts as a hydrogen or electron donor and reduces a hydrogen or electron acceptor." [EC:1.8.-.-, GOC:ai]	{'GO:0005576', 'GO:0005764', 'GO:0042590', 'GO:0043202', 'GO:0005515', 'GO:0019886', 'GO:0016671', 'GO:0016667'}
P14151	L-selectin	GO:0030246	molecular_function	"Binding to a carbohydrate, which includes monosaccharides, oligosaccharides and polysaccharides as well as substances derived from monosaccharides by reduction of the carbonyl group (alditols), by oxidation of one or more hydroxy groups to afford the corresponding aldehydes, ketones, or carboxylic acids, or by replacement of one or more hydroxy group(s) by a hydrogen atom. Cyclitols are generally not regarded as carbohydrates." [GOC:mah]	{'GO:0005509', 'GO:0009986', 'GO:0034097', 'GO:0007159', 'GO:0016339', 'GO:0016020', 'GO:0007157', 'GO:0033691', 'GO:0050901', 'GO:0050839', 'GO:0030667', 'GO:0009897', 'GO:0005886', 'GO:0005515', 'GO:0002020', 'GO:0005576', 'GO:0007155', 'GO:0043208', 'GO:0030246', 'GO:0070492', 'GO:0008201', 'GO:0050900'}
P17643	5,6-dihydroxyindole-2-carboxylic acid oxidase	GO:0016491	molecular_function	"Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced." [EC:1.-.-.-]	{'GO:0032438', 'GO:0030669', 'GO:0042802', 'GO:0004097', 'GO:0004503', 'GO:0048023', 'GO:0033162', 'GO:0042470', 'GO:0005515', 'GO:0097708', 'GO:0042803', 'GO:0030318', 'GO:0042438', 'GO:0030659', 'GO:0005737', 'GO:0016491', 'GO:0048069', 'GO:0098588', 'GO:0001654', 'GO:0010008'}
P21754	Zona pellucida sperm-binding protein 3	GO:0030246	molecular_function	"Binding to a carbohydrate, which includes monosaccharides, oligosaccharides and polysaccharides as well as substances derived from monosaccharides by reduction of the carbonyl group (alditols), by oxidation of one or more hydroxy groups to afford the corresponding aldehydes, ketones, or carboxylic acids, or by replacement of one or more hydroxy group(s) by a hydrogen atom. Cyclitols are generally not regarded as carbohydrates." [GOC:mah]	{'GO:0002455', 'GO:0045893', 'GO:0032190', 'GO:0002922', 'GO:2000388', 'GO:0007339', 'GO:0042802', 'GO:2000368', 'GO:0005201', 'GO:0035804', 'GO:0001809', 'GO:0035805', 'GO:0042102', 'GO:0001825', 'GO:0005886', 'GO:0005515', 'GO:0005576', 'GO:0035803', 'GO:0045892', 'GO:0050729', 'GO:0031012', 'GO:2000386', 'GO:2000360', 'GO:0048018', 'GO:0048599', 'GO:0032729', 'GO:0030246', 'GO:0002687', 'GO:0140149', 'GO:2000344', 'GO:0032753', 'GO:0007165'}
P29590	Protein PML	GO:0032938	biological_process	"Any process that stops, prevents, or reduces the frequency, rate or extent of translation as a result of oxidative stress, a state often resulting from exposure to high levels of reactive oxygen species, e.g. superoxide anions, hydrogen peroxide (H2O2), and hydroxyl radicals." [GOC:mah]	{'GO:0043153', 'GO:0031625', 'GO:0034504', 'GO:0001666', 'GO:0006915', 'GO:0046872', 'GO:0043161', 'GO:0045184', 'GO:2000779', 'GO:0005515', 'GO:0140374', 'GO:0051246', 'GO:0032206', 'GO:0065003', 'GO:0010629', 'GO:0002230', 'GO:0090402', 'GO:0046982', 'GO:0005737', 'GO:0090398', 'GO:0045893', 'GO:0032469', 'GO:0034097', 'GO:0032691', 'GO:0032922', 'GO:0060090', 'GO:0044790', 'GO:0031901', 'GO:0051457', 'GO:0046332', 'GO:0005829', 'GO:0045930', 'GO:0000781', 'GO:0042752', 'GO:0008285', 'GO:0030155', 'GO:0016605', 'GO:0010761', 'GO:0016925', 'GO:0050897', 'GO:1904816', 'GO:0042802', 'GO:2000059', 'GO:0006605', 'GO:0031965', 'GO:0032938', 'GO:0008270', 'GO:0005654', 'GO:0016525', 'GO:0019789', 'GO:0032183', 'GO:0045892', 'GO:0050821', 'GO:0005730', 'GO:0032692', 'GO:0032211', 'GO:0030578', 'GO:0048146', 'GO:0030330', 'GO:0042771', 'GO:0030308', 'GO:2001235', 'GO:0045087', 'GO:0016604', 'GO:1901798', 'GO:0006355', 'GO:0006338', 'GO:0060058', 'GO:0005789', 'GO:0005634', 'GO:0008630', 'GO:0010522', 'GO:0061659', 'GO:0042803', 'GO:0016363', 'GO:0051726', 'GO:0003713', 'GO:2001238'}
P35354	Prostaglandin G/H synthase 2	GO:0016702	molecular_function	"Catalysis of an oxidation-reduction (redox) reaction in which hydrogen or electrons are transferred from one donor, and two oxygen atoms is incorporated into a donor." [GOC:mah]	{'GO:0004666', 'GO:0001516', 'GO:0071471', 'GO:0150077', 'GO:0004601', 'GO:0008217', 'GO:0050727', 'GO:0019372', 'GO:0006979', 'GO:0090050', 'GO:0010575', 'GO:0016705', 'GO:0005789', 'GO:0043005', 'GO:0005783', 'GO:0005640', 'GO:0005515', 'GO:0016701', 'GO:0020037', 'GO:0005637', 'GO:0019899', 'GO:0071456', 'GO:0031622', 'GO:0090336', 'GO:0042803', 'GO:0046457', 'GO:0019371', 'GO:0071636', 'GO:0090362', 'GO:0031394', 'GO:0005788', 'GO:0043066', 'GO:0042759', 'GO:0005737', 'GO:0016702', 'GO:0045429', 'GO:0098869', 'GO:0050873', 'GO:0090271', 'GO:1902219'}
P40126	L-dopachrome tautomerase	GO:0016491	molecular_function	"Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced." [EC:1.-.-.-]	{'GO:0160108', 'GO:0048066', 'GO:0002052', 'GO:0016020', 'GO:0004167', 'GO:0033162', 'GO:0042470', 'GO:0005515', 'GO:0005886', 'GO:0005507', 'GO:0006583', 'GO:0008544', 'GO:0005829', 'GO:0042438', 'GO:0009637', 'GO:0021847', 'GO:0005737', 'GO:0016491', 'GO:0048069'}
P43694	Transcription factor GATA-4	GO:1902176	biological_process	"Any process that stops, prevents or reduces the frequency, rate or extent of an oxidative stress-induced intrinsic apoptotic signaling pathway." [GOC:BHF, GOC:mtg_apoptosis, GOC:TermGenie, PMID:11672522]	{'GO:1902176', 'GO:0003279', 'GO:0003007', 'GO:0061049', 'GO:0030154', 'GO:0006357', 'GO:0003682', 'GO:0030513', 'GO:0140297', 'GO:1905204', 'GO:0005515', 'GO:0010629', 'GO:0009888', 'GO:0048617', 'GO:0000785', 'GO:0009653', 'GO:0045944', 'GO:0003215', 'GO:0003162', 'GO:0071333', 'GO:0045893', 'GO:0045787', 'GO:0061026', 'GO:0042060', 'GO:0036302', 'GO:0007492', 'GO:0010575', 'GO:0003290', 'GO:0060575', 'GO:0003190', 'GO:0043565', 'GO:0043066', 'GO:0000987', 'GO:0019901', 'GO:0001947', 'GO:0010628', 'GO:0010667', 'GO:0045766', 'GO:0003289', 'GO:1990837', 'GO:0007507', 'GO:0086004', 'GO:0003677', 'GO:0003180', 'GO:0035054', 'GO:0000977', 'GO:0010507', 'GO:0008270', 'GO:0005654', 'GO:0060413', 'GO:0009410', 'GO:0003208', 'GO:0000981', 'GO:0090575', 'GO:0009612', 'GO:2001234', 'GO:0055007', 'GO:0045165', 'GO:0000976', 'GO:0008584', 'GO:0033189', 'GO:0016604', 'GO:0006355', 'GO:0007267', 'GO:1902895', 'GO:0000978', 'GO:0005634', 'GO:0000122', 'GO:0051525', 'GO:0001223', 'GO:0070410', 'GO:0001216', 'GO:0003700', 'GO:0001228', 'GO:0032526', 'GO:0003281', 'GO:0003197', 'GO:0061629', 'GO:0060290'}
Q13049	E3 ubiquitin-protein ligase TRIM32	GO:0006979	biological_process	"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of oxidative stress, a state often resulting from exposure to high levels of reactive oxygen species, e.g. superoxide anions, hydrogen peroxide (H2O2), and hydroxyl radicals." [GOC:jl, PMID:12115731]	{'GO:0019725', 'GO:0009896', 'GO:0045787', 'GO:1903265', 'GO:1902230', 'GO:0009411', 'GO:0045444', 'GO:0004842', 'GO:0042594', 'GO:0000209', 'GO:0034612', 'GO:0034198', 'GO:0045087', 'GO:0048147', 'GO:0042802', 'GO:2000786', 'GO:0030674', 'GO:2000147', 'GO:0006979', 'GO:0044790', 'GO:0033554', 'GO:0070534', 'GO:0005739', 'GO:0043123', 'GO:0030957', 'GO:0005783', 'GO:0005634', 'GO:0031369', 'GO:0000045', 'GO:0140374', 'GO:0005515', 'GO:0003723', 'GO:0070936', 'GO:0008270', 'GO:0045732', 'GO:0051247', 'GO:0006511', 'GO:0010508', 'GO:0016567', 'GO:0005776', 'GO:0050769', 'GO:1902018', 'GO:0017022', 'GO:0043130', 'GO:0005829', 'GO:0045666', 'GO:0003713', 'GO:0010468', 'GO:0045862', 'GO:0061630', 'GO:0010994', 'GO:0005737', 'GO:0005813', 'GO:0034144', 'GO:0030335', 'GO:0005863', 'GO:0045893', 'GO:0030307'}
Q14258	E3 ubiquitin/ISG15 ligase TRIM25	GO:0006979	biological_process	"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of oxidative stress, a state often resulting from exposure to high levels of reactive oxygen species, e.g. superoxide anions, hydrogen peroxide (H2O2), and hydroxyl radicals." [GOC:jl, PMID:12115731]	{'GO:0033280', 'GO:0004842', 'GO:0045087', 'GO:0006979', 'GO:0044790', 'GO:0043123', 'GO:0005634', 'GO:0005515', 'GO:0140374', 'GO:0070936', 'GO:0003723', 'GO:0010507', 'GO:0010494', 'GO:0005654', 'GO:0006511', 'GO:0016567', 'GO:0043627', 'GO:0032880', 'GO:0046597', 'GO:0005829', 'GO:0039552', 'GO:0003713', 'GO:0036503', 'GO:0006513', 'GO:0061630', 'GO:0045296', 'GO:0005737', 'GO:0002753', 'GO:0045893'}
Q5VYX0	Renalase	GO:0070404	molecular_function	"Binding to the reduced form, NADH, of nicotinamide adenine dinucleotide, a coenzyme involved in many redox and biosynthetic reactions." [GOC:mah]	{'GO:0097621', 'GO:0051379', 'GO:0045776', 'GO:0071869', 'GO:0071871', 'GO:0005576', 'GO:1902074', 'GO:0002931', 'GO:0016651', 'GO:0016491', 'GO:0010459', 'GO:0005515', 'GO:0070404'}
Q6MZQ0	Proline-rich protein 5-like	GO:0034599	biological_process	"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of oxidative stress, a state often resulting from exposure to high levels of reactive oxygen species, e.g. superoxide anions, hydrogen peroxide (H2O2), and hydroxyl radicals." [GOC:mah]	{'GO:0010762', 'GO:0061014', 'GO:0051897', 'GO:0038203', 'GO:0031625', 'GO:0005515', 'GO:0019887', 'GO:0090316', 'GO:0031932', 'GO:0034599', 'GO:0001933'}
Q6ZVD7	Storkhead-box protein 1	GO:1902882	biological_process	"Any process that modulates the frequency, rate or extent of response to oxidative stress." [GO_REF:0000058, GOC:kmv, GOC:TermGenie, PMID:16899554]	{'GO:0045787', 'GO:1902882', 'GO:0010821', 'GO:0001650', 'GO:0006357', 'GO:0010800', 'GO:0005938', 'GO:1900087', 'GO:0033138', 'GO:0005634', 'GO:0005515', 'GO:0071500', 'GO:0000977', 'GO:1904031', 'GO:0005654', 'GO:1901858', 'GO:0010629', 'GO:0005829', 'GO:0048839', 'GO:0003700', 'GO:0005730', 'GO:0010468', 'GO:0010971', 'GO:0007346', 'GO:1904120', 'GO:0010628', 'GO:0005737', 'GO:0005813', 'GO:0051881', 'GO:0051897'}
