GO_ID	pValues	interestCount	backgroundCount
GO:0035094	0.74754526123846	2	38
GO:0008150	0.9904462940616326	2	94
GO:0035860	0.17290349611200884	2	11
GO:0007169	0.1689322403597531	11	115
GO:0007167	1.0	0	22
GO:0007166	0.4622682438887153	25	351
GO:0007165	0.845038250692244	87	1389
GO:0005365	0.19286060605380606	1	3
GO:0022857	0.9999979073035429	2	222
GO:0003674	0.97215404887738	3	100
GO:0042482	0.24850146150336413	1	4
GO:0022603	0.3003092864980996	1	5
GO:0050793	2.7202728091017515e-05	10	31
GO:0051240	0.05217787257162488	5	30
GO:0051239	0.007546614972673396	7	34
GO:0051094	0.005007221686309883	4	11
GO:1904399	0.014069468163309886	3	8
GO:0019725	0.6321806093576154	1	14
GO:0042592	1.0	0	12
GO:0043422	0.5104787423462751	1	10
GO:0019901	0.9377733394401112	25	474
GO:0019900	0.1793554428035629	10	104
GO:0019899	0.8379819975076606	23	398
GO:0005515	0.45784719230277693	960	13895
GO:0035800	0.34854795329137683	1	6
GO:0016504	0.604932507316985	1	13
GO:0030234	1.0	0	28
GO:0008047	0.8584900672363573	4	87
GO:0140677	0.284235122210417	3	27
GO:0001223	0.07618813501427882	7	54
GO:0001221	0.07290014524208516	6	43
GO:0008134	0.6575506730915142	1	15
GO:0048485	0.17290349611200884	2	11
GO:0160108	6.13664671489181e-05	19	102
GO:0048731	0.008076322269596656	11	70
GO:0106310	0.9996069469715501	11	362
GO:0004672	0.9434491373900605	25	478
GO:0016301	0.23479795475585005	10	111
GO:0016772	1.0	0	11
GO:0016740	0.864808266812163	1	28
GO:0003824	0.9999459478407563	3	205
GO:0140096	0.19286060605380606	1	3
GO:0016773	1.0	0	13
GO:0031440	0.47422283438659296	1	9
GO:0050684	1.0	0	18
GO:1903311	1.0	0	5
GO:0051252	0.1479196627494554	2	10
GO:0070021	0.3003092864980996	1	5
GO:1902554	0.6035302344335435	2	29
GO:1902911	1.0	0	3
GO:1990234	0.6321806093576154	1	14
GO:1902494	1.0	0	50
GO:0032991	0.9985428322942035	33	749
GO:0005575	0.9727950843895631	2	77
GO:0098797	0.42991478497756974	2	21
GO:0098796	0.3003092864980996	1	5
GO:0043235	0.014858064795563645	26	240
GO:0045860	0.5219841200953089	2	25
GO:0033674	0.3003092864980996	1	5
GO:0042327	0.7236422578828927	1	18
GO:0042325	0.24850146150336413	1	4
GO:0043085	0.3934631811564106	1	7
GO:0050790	0.24850146150336413	1	4
GO:0043549	1.0	0	5
GO:0001934	0.5306650865823384	4	55
GO:0051247	0.11159809365893815	4	27
GO:0051246	0.42991478497756974	2	21
GO:0001932	1.0	0	13
GO:0045859	1.0	0	8
GO:0032869	0.7922348692316323	5	95
GO:0071375	0.3032300005892878	2	16
GO:0043434	1.0	0	49
GO:0009725	0.7403621107449132	3	55
GO:0032870	1.0	0	45
GO:1901701	0.19849321650809154	2	12
GO:0032868	0.7514131575615488	3	56
GO:1903265	0.09338773253926848	3	16
GO:0001961	0.47422283438659296	1	9
GO:0060760	1.0	0	7
GO:0001959	1.0	0	3
GO:0009966	0.8461312536145797	5	103
GO:0010646	0.5756674533753028	1	12
GO:0023051	0.3032300005892878	2	16
GO:0009967	0.20875267198801012	3	23
GO:0023056	1.0	0	3
GO:0010647	1.0	0	4
GO:0010803	0.15570374350738317	3	20
GO:0045595	0.1606263799149847	5	42
GO:1901533	1.0	0	3
GO:0045596	0.9533178714753214	2	68
GO:0051093	1.0	0	3
GO:0000132	0.6574709329934392	2	32
GO:0040001	1.0	0	5
GO:1902850	1.0	0	4
GO:0000226	0.9993485793239565	2	136
GO:0007010	0.9975926513328244	3	143
GO:0006996	1.0	0	4
GO:0007017	1.0	0	43
GO:0051293	1.0	0	10
GO:0051640	1.0	0	4
GO:0051649	0.47422283438659296	1	9
GO:0051294	1.0	0	5
GO:1902993	0.1479196627494554	2	10
GO:1902991	1.0	0	5
GO:0140367	0.42991478497756974	2	21
GO:0042742	0.9839310401966205	3	110
GO:0009617	1.0	0	50
GO:0051707	0.776985913544772	1	21
GO:0006952	0.7048714121099414	8	133
GO:0006950	0.1961590405118099	5	45
GO:0045087	0.0008505868423219754	32	257
GO:0019838	0.1620892202628436	4	31
GO:0070742	0.0012444826382818851	5	13
GO:2000648	0.544236266969702	1	11
GO:0008284	0.3317774337856019	35	468
GO:0042127	0.3447896613128806	11	137
GO:0072091	0.24850146150336413	1	4
GO:0030185	0.24850146150336413	1	4
GO:0060841	0.04127016152442236	2	5
GO:0004143	0.005007221686309883	4	11
GO:0005319	0.9384556543568712	1	39
GO:0140104	1.0	0	27
GO:0043425	0.30352487113286764	3	28
GO:0140297	0.3057869417046536	14	173
GO:0031647	0.9999415354381593	1	136
GO:0051602	0.7604587169463339	1	20
GO:0042246	0.7427076829224035	1	19
GO:0048589	0.604932507316985	1	13
GO:0032502	0.360260708125646	4	44
GO:0033147	0.604932507316985	1	13
GO:0033144	1.0	0	3
GO:1902531	0.9384556543568712	1	39
GO:1902532	0.3032300005892878	2	16
GO:0009968	0.3807202922782393	3	32
GO:0023057	1.0	0	4
GO:0033146	1.0	0	8
GO:0031431	0.19286060605380606	1	3
GO:0045841	0.19286060605380606	1	3
GO:0033044	0.7427076829224035	1	19
GO:0051983	1.0	0	10
GO:0010564	0.34221250621287286	3	30
GO:0051726	0.15924912047557702	20	228
