Accession_number	Region	Domain
A6NGW2	[663, 462]	Stereocilin
A6NGW2	[663, 535]	Stereocilin
O75093	[891, 304]	Leucine rich repeat C-terminal domain
O75093	[891, 535]	Leucine rich repeat C-terminal domain
O75093	[891, 747]	Leucine rich repeat C-terminal domain
O75093	[891, 914]	Leucine rich repeat C-terminal domain
O75093	[1328, 914]	Leucine rich repeat C-terminal domain
O75678	[240, 74]	SPRY domain
P04275	[1142, 222]	Otogelin-like/Mucin TIL domain
P04275	[1142, 394]	Otogelin-like/Mucin TIL domain
P04275	[1142, 869]	Otogelin-like/Mucin TIL domain
P04275	[1873, 1196]	Otogelin-like/Mucin TIL domain
P04275	[2117, 1196]	Otogelin-like/Mucin TIL domain
P04275	[2157, 1196]	Otogelin-like/Mucin TIL domain
Q05329	[138, 85]	Pyridoxal-dependent decarboxylase conserved domain
Q14585	[412, 29]	Zinc-finger double domain
Q14585	[412, 160]	Zinc-finger double domain
Q7RTU4	[120, 117]	Helix-loop-helix DNA-binding domain
Q7Z7K2	[543, 95]	Zinc finger, C2H2 type
Q7Z7K2	[543, 202]	Zinc finger, C2H2 type
Q7Z7K2	[543, 446]	Zinc finger, C2H2 type
Q8IXZ3	[416, 402]	Zinc finger, C2H2 type
Q8IZ63	[63, 17]	Proline-rich protein family 22
Q8IZJ1	[545, 362]	ZU5 domain
Q8N1N2	[82, 78]	CLLAC-motif containing domain
Q8N1N2	[120, 111]	CLLAC-motif containing domain
Q8NAF0	[441, 86]	Zinc finger, C2H2 type
Q8NAF0	[441, 251]	Zinc finger, C2H2 type
Q8NAF0	[441, 312]	Zinc finger, C2H2 type
Q8NAF0	[441, 426]	Zinc finger, C2H2 type
Q8WWI1	[1614, 1620]	LIM domain
Q9BRZ2	[166, 146]	B-box zinc finger
Q9BT23	[40, 48]	LIM domain
Q9C0I4	[1131, 204]	Thrombospondin type 1 domain
Q9C0I4	[1131, 361]	Thrombospondin type 1 domain
Q9C0I4	[1131, 483]	Thrombospondin type 1 domain
Q9C0I4	[1131, 1180]	Thrombospondin type 1 domain
Q9UL59	[237, 42]	KRAB box
Q9Y5H7	[722, 110]	Cadherin-like
D6RCP7	[80, 61]	Ubiquitin carboxyl-terminal hydrolase
O43915	[178, 191]	PDGF/VEGF domain
P51970	[78, 62]	CHCH domain
Q09MP3	[1109, 123]	RAD51 interacting motif
Q09MP3	[1109, 358]	RAD51 interacting motif
Q09MP3	[1109, 423]	RAD51 interacting motif
Q12802	[1246, 71]	RII binding domain
Q12802	[1246, 369]	RII binding domain
Q12802	[1246, 421]	RII binding domain
Q12802	[1246, 691]	RII binding domain
Q12802	[1796, 1264]	RII binding domain
Q53GD3	[314, 128]	Plasma-membrane choline transporter
Q5EBM0	[257, 94]	Thymidylate kinase
Q5TC79	[420, 123]	BTB/POZ domain
Q6ZUB1	[420, 282]	FAM75 family
Q6ZUB1	[1347, 789]	FAM75 family
Q8N823	[222, 63]	KRAB box
Q8TF21	[213, 38]	Ankyrin repeat
Q92954	[1195, 113]	Hemopexin
Q96C00	[375, 140]	BTB/POZ domain
Q96C00	[429, 140]	BTB/POZ domain
Q96QE4	[795, 535]	LRRC37A/B like protein 1 C-terminal domain
Q96QE4	[795, 756]	LRRC37A/B like protein 1 C-terminal domain
Q9H0E9	[1114, 980]	Bromodomain
Q9NZV7	[494, 410]	Zinc finger, C2H2 type
Q9NZV7	[494, 516]	Zinc finger, C2H2 type
Q9UK11	[400, 191]	Zinc finger, C2H2 type
Q9UK11	[400, 316]	Zinc finger, C2H2 type
Q9Y297	[191, 114]	F-box-like
A6NC57	[426, 263]	Ankyrin repeats (3 copies)
O00321	[241, 241]	Ets-domain
O14545	[94, 136]	TRAFD1/XAF1, zinc finger
O14545	[282, 136]	TRAFD1/XAF1, zinc finger
O14545	[359, 136]	TRAFD1/XAF1, zinc finger
O43283	[696, 405]	Protein tyrosine and serine/threonine kinase
O43283	[900, 405]	Protein tyrosine and serine/threonine kinase
P08588	[440, 377]	7 transmembrane receptor (rhodopsin family)
P0DH78	[102, 58]	RING-type zinc-finger
P20701	[612, 83]	Integrin alpha Ig-like domain 1
P25445	[129, 165]	TNFR/NGFR cysteine-rich region
Q01955	[1379, 49]	Collagen triple helix repeat (20 copies)
Q03828	[376, 245]	Homeodomain
Q13114	[438, 248]	TRAF/meprin, MATH domain
Q13118	[429, 179]	Zinc finger, C2H2 type
