Only by Iupred2a	Common proteins	Only by Aiupred
A0A0J9YXV3	A6NGW2	O43182
P49821	O75093	O43304
Q7RTU4	O75678	O43827
Q8N1N2	P04275	P01135
Q9Y5H7	Q05329	P0C875
A0A286YF77	Q14585	P58005
O43820	Q5T0L3	Q13018
P51970	Q5VWG9	Q15818
Q5TCM9	Q6UWY2	Q16394
Q8TF21	Q6ZMT1	Q53EZ4
Q9H0E9	Q7Z7K2	Q53HC9
A0A1B0GVY7	Q8IWV7	Q8N4H0
O00321	Q8IXZ3	Q9P203
O43283	Q8IZ63	O00411
P08588	Q8IZJ1	O94832
P24723	Q8NAF0	P49720
Q03828	Q8WWI1	P78424
Q2YD98	Q9BRZ2	Q15723
Q5VTJ3	Q9BT23	Q30KP8
Q8TDJ6	Q9C0I4	Q5H9L4
Q9Y6F6	Q9NRY6	Q5I0X7
O14727	Q9UL59	Q5SWX8
O43766	D6RCP7	Q8NCX0
P26371	O43915	Q8WTW3
P29274	P06858	Q96LP6
Q5SQ80	Q09MP3	Q9H2C1
Q64ET8	Q12802	Q9HCI6
Q8N878	Q53GD3	Q9NQ11
Q8TEX9	Q5EBM0	A0AAQ5BHU3
A0A286YEV6	Q5TC79	A8MVZ5
A9YTQ3	Q6ZUB1	M0R2J8
O95445	Q8N823	O75969
Q496H8	Q92918	O95677
P22528	Q92954	P24278
Q96BW5	Q96C00	Q15849
O15021	Q96QE4	Q2WGJ6
P0DPI3	Q9BYR6	Q6ZWI9
Q400G9	Q9NZV7	Q8N8G6
Q5T764	Q9UK11	Q8NCW6
Q86VQ1	Q9Y297	Q8TAS1
Q8N3Y3	A6NC57	Q8TC92
Q9NRQ2	O00451	Q96L91
O94875	O14545	Q9NY46
P10600	O95274	Q9P2P1
Q6ZRV3	P0DH78	Q9UKV8
Q86XT9	P20701	Q9Y6Q9
Q96BR5	P25445	A0FGR8
Q9BZA0	Q01955	A5YM72
A0AAG2UYG2	Q13114	P16615
Q5FWF5	Q13118	P17081
Q86WR7	Q14957	P43268
A0AAG2TV48	Q15878	P57764
O76096	Q2TV78	Q03426
Q8IW03	Q5VVW2	Q8N4C7
Q8N5Z5	Q659A1	Q8TEB1
Q96KS0	Q6PEW0	Q96A70
Q9NQZ6	Q7Z4F1	Q9UJJ9
A0A0J9YWL9	Q86UF1	Q9UKV0
P03999	Q8NBB4	A6NCL7
P42681	Q8WXS8	P36269
Q6P6B7	Q96LS8	Q15366
Q9BQ31	Q96NJ3	Q5VXU9
Q9BYQ3	Q9BY79	Q8IZ73
P31276	Q9P2E3	Q8WUF8
P59020	A0A1B0GUW6	Q8WUM9
Q96PT3	A8MWY0	Q9C0I3
A0A286YF46	O00222	Q9HA64
P0DV74	O14512	Q9P2D3
P35372	O43638	Q9Y5H2
Q6DN03	O60309	A0ABB0MV19
Q6ZNG2	O75078	O94911
Q6ZS02	P10912	O95487
Q7Z434	P55285	P01036
Q9BYR2	P55773	P15391
Q9C086	P98073	P20774
Q9NQF3	P98164	Q12918
Q1RN00	Q14865	Q86X10
Q495Z4	Q15031	Q8IXI1
Q5TA81	Q5H8A4	Q8NHL6
Q96MH2	Q6UXB8	Q96SZ5
Q9BYQ8	Q86YH2	Q9BRP4
P45880	Q99675	Q9NTG1
P50579	Q9BV97	A6NI73
Q53GT1	Q9UHB6	O15528
Q8N9F0	Q9Y2H8	O75528
Q9GZZ6	Q9Y5Y6	P0C7U3
A0A096LP55	A2VDJ0	P25398
Q8NDY8	A6NCW7	P25940
Q92963	P26436	Q08357
Q9BYR5	P55055	Q7Z6R9
Q9WJR5	P78386	Q8N9Z9
P98077	Q07954	Q96QU8
Q9NVF9	Q13535	Q9NQR9
Q9UN74	Q3BBV2	Q9P2L0
B1AJZ9	Q5VV67	Q9UIB8
O43248	Q6P9F0	Q9UKG1
O75564	Q6PK81	Q9UL18
P19013	Q6ZVN8	A0A096LP49
