Common proteins	Only by Iupred2a	Only by Aiupred
A6NGW2	A0A0J9YXV3	A6NIY4
O75093	P49821	O43182
O75678	Q7RTU4	O43304
P04275	Q8N1N2	O43827
Q05329	Q9Y5H7	P01135
Q14585	A0A286YF77	P0C875
Q5T0L3	P51970	P58005
Q5VWG9	Q5TCM9	Q13018
Q6UWY2	Q8TF21	Q15818
Q6ZMT1	Q9H0E9	Q16394
Q7Z7K2	A0A1B0GVY7	Q53EZ4
Q8IWV7	O00321	Q53HC9
Q8IXZ3	O43283	Q8N4H0
Q8IZ63	P08588	Q96Q89
Q8IZJ1	P24723	Q9NV35
Q8NAF0	Q03828	Q9P203
Q8WWI1	Q5VTJ3	Q9Y662
Q9BRZ2	Q9Y6F6	A0A1W2PQ72
Q9BT23	O14727	O00411
Q9C0I4	P26371	O75069
Q9NRY6	P29274	O75179
Q9UL59	Q5SQ80	O94832
D6RCP7	Q64ET8	P49720
O43820	Q8N878	P61513
O43915	Q8TEX9	P78424
P06858	A0A286YEV6	Q07325
Q09MP3	A9YTQ3	Q15723
Q12802	Q496H8	Q30KP8
Q53GD3	P22528	Q5H9L4
Q5EBM0	Q96BW5	Q5I0X7
Q5TC79	O15021	Q5SWX8
Q6ZUB1	P0DPI3	Q8NCX0
Q8N823	Q400G9	Q8WTW3
Q92918	Q5T764	Q96LP6
Q92954	Q86VQ1	Q9H2C1
Q96C00	Q8N3Y3	Q9HCI6
Q96QE4	Q9NRQ2	Q9NQ11
Q9BYR6	P10600	A0AAQ5BHU3
Q9NZV7	Q6ZRV3	A6NI28
Q9UK11	Q86XT9	A8MVZ5
Q9Y297	Q96BR5	M0R2J8
A6NC57	Q9BZA0	O75969
O00451	A0AAG2UYG2	O95677
O14545	Q5FWF5	P24278
O95274	Q86WR7	Q15849
P0DH78	A0AAG2TV48	Q2WGJ6
P20701	O76096	Q5THR3
P25445	Q8IW03	Q6ZWI9
Q01955	Q8N5Z5	Q8N8G6
Q13114	Q96KS0	Q8NCW6
Q13118	Q9NQZ6	Q8TAS1
Q14957	A0A0J9YWL9	Q8TC92
Q15878	P03999	Q96L91
Q2TV78	P42681	Q9NSU2
Q2YD98	Q6P6B7	Q9NY46
Q5VVW2	Q9BYQ3	Q9NY74
Q659A1	P31276	Q9P2P1
Q6PEW0	A0A286YF46	Q9UKV8
Q7Z4F1	P0DV74	Q9Y6Q9
Q86UF1	P35372	A0FGR8
Q8NBB4	Q6DN03	A5YM72
Q8TDJ6	Q6ZNG2	P16615
Q8WXS8	Q6ZS02	P17081
Q96LS8	Q7Z434	P43268
Q96NJ3	Q9BYR2	P57764
Q9BY79	Q9C086	Q03426
Q9P2E3	Q9NQF3	Q8IX01
A0A1B0GUW6	Q1RN00	Q8N4C7
A8MWY0	Q495Z4	Q8TEB1
O00222	Q5TA81	Q8WWU5
O14512	Q96MH2	Q96A70
O43638	Q9BYQ8	Q9UJJ9
O43766	P45880	Q9UKV0
O60309	P50579	A6NCL7
O75078	Q53GT1	O60353
P10912	Q8N9F0	P26022
P55285	Q9GZZ6	P36269
P55773	A0A096LP55	Q14765
P98073	Q8NDY8	Q15366
P98164	Q92963	Q5VXU9
Q14865	Q9BYR5	Q8IV33
Q15031	Q9WJR5	Q8IZ73
Q5H8A4	P98077	Q8TBE9
Q6UXB8	Q9NVF9	Q8WUF8
Q86YH2	Q9UN74	Q8WUM9
Q99675	O43248	Q9C0I3
Q9BV97	O75564	Q9H9G7
Q9UHB6	P19013	Q9HA64
Q9Y2H8	Q96N19	Q9P2D3
Q9Y5Y6	Q9UGC6	Q9Y5H2
A2VDJ0	P81172	A0ABB0MV19
A6NCW7	Q96GL9	O14792
O95445	A8MUL3	O94911
P26436	O14513	O95487
