Accession_number	Start	End	Predicted_score
O75678	99	150	0.43833427450980395
P49821	374	391	0.2995241764705882
Q5T0L3	68	89	0.22487861904761908
Q5T0L3	118	158	0.2939827
Q5VWG9	860	921	0.3500203442622951
Q6UWY2	191	226	0.2554983142857143
Q6ZMT1	113	170	0.32738731578947367
Q9BRZ2	28	68	0.5231003750000001
Q9BRZ2	158	211	0.43976358490566037
Q9NRY6	114	174	0.46757515
Q9NRY6	204	225	0.4098582857142857
D6RCP7	101	135	0.3553164705882353
O43820	352	376	0.3451699166666667
O43820	400	415	0.3314862
O43915	103	156	0.3419755471698113
P06858	289	305	0.2916710625
Q5TCM9	0	117	0.9553211538461539
Q92918	599	615	0.3155658125
Q9BYR6	0	97	0.8097202886597938
A0A1B0GVY7	607	625	0.3375766666666667
O00451	29	98	0.32605907246376814
O00451	150	207	0.4321286315789474
O00451	217	298	0.47904507407407404
O00451	312	356	0.3683555909090909
O95274	32	65	0.4555361818181818
O95274	110	230	0.4016648333333333
P0DH78	13	80	0.49540204477611943
P24723	211	233	0.3781652727272727
Q2TV78	50	74	0.39843375
Q2TV78	116	262	0.3890152123287671
Q2TV78	336	384	0.32574831249999997
Q2TV78	635	660	0.27771508
Q2YD98	566	586	0.2273003
Q6PEW0	198	224	0.27839823076923076
Q7Z4F1	147	191	0.3746076818181818
Q86UF1	170	190	0.384741
Q8NBB4	311	334	0.2810872173913043
Q8NBB4	371	394	0.28483465217391307
Q9BY79	280	306	0.41635323076923075
Q9BY79	526	578	0.43892009615384614
O00222	505	540	0.3796800857142857
O75078	381	397	0.3921960625
P10912	414	434	0.22750945000000003
P10912	503	523	0.24682105000000001
P29274	144	160	0.336533625
P55773	92	114	0.2478518181818182
Q15031	495	515	0.31039985
Q5SQ80	90	108	0.2837951111111111
Q64ET8	84	127	0.323410488372093
Q6UXB8	109	206	0.3401163711340206
Q99675	263	282	0.34110336842105266
Q9UHB6	379	417	0.2688263157894737
Q9Y5Y6	395	417	0.29378377272727274
A6NCW7	105	131	0.4337015769230769
O95445	146	163	0.2208441764705882
P26436	179	264	0.4687410823529412
P55055	76	167	0.4254752527472528
P78386	61	103	0.3741664761904762
Q3BBV2	628	655	0.26229855555555553
Q3BBV2	778	812	0.2941915294117647
Q496H8	76	96	0.31708175
Q6ZVN8	30	51	0.342256619047619
Q6ZVN8	69	106	0.3261923513513514
Q8N7R7	0	21	0.28254690476190475
Q9H5I1	219	249	0.46023983333333335
Q9UH90	0	104	0.49566417307692306
Q9UMW8	223	242	0.36643557894736845
Q9Y252	621	681	0.3377610833333333
O43291	75	97	0.3875266363636364
O43291	171	189	0.3174406111111111
P20155	35	66	0.3914721290322581
P22528	0	82	0.45309814634146345
Q0VG06	616	646	0.26402416666666667
Q5VWM6	445	470	0.37142112000000005
