Accession_number	Region	Region_length
O75678	[99, 150]	52
P49821	[374, 391]	18
Q5T0L3	[68, 89]	22
Q5T0L3	[118, 158]	41
Q5VWG9	[860, 921]	62
Q6UWY2	[191, 226]	36
Q6ZMT1	[113, 170]	58
Q9BRZ2	[28, 68]	41
Q9BRZ2	[158, 211]	54
Q9NRY6	[114, 174]	61
Q9NRY6	[204, 225]	22
D6RCP7	[101, 135]	35
O43820	[352, 376]	25
O43820	[400, 415]	16
O43915	[103, 156]	54
P06858	[289, 305]	17
Q5TCM9	[0, 117]	118
Q92918	[599, 615]	17
Q9BYR6	[0, 97]	98
A0A1B0GVY7	[607, 625]	19
O00451	[29, 98]	70
O00451	[150, 207]	58
O00451	[217, 298]	82
O00451	[312, 356]	45
O95274	[32, 65]	34
O95274	[110, 230]	121
P0DH78	[13, 80]	68
P24723	[211, 233]	23
Q2TV78	[50, 74]	25
Q2TV78	[116, 262]	147
Q2TV78	[336, 384]	49
Q2TV78	[635, 660]	26
Q2YD98	[566, 586]	21
Q6PEW0	[198, 224]	27
Q7Z4F1	[147, 191]	45
Q86UF1	[170, 190]	21
Q8NBB4	[311, 334]	24
Q8NBB4	[371, 394]	24
Q9BY79	[280, 306]	27
Q9BY79	[526, 578]	53
O00222	[505, 540]	36
O75078	[381, 397]	17
P10912	[414, 434]	21
P10912	[503, 523]	21
P29274	[144, 160]	17
P55773	[92, 114]	23
Q15031	[495, 515]	21
Q5SQ80	[90, 108]	19
Q64ET8	[84, 127]	44
Q6UXB8	[109, 206]	98
Q99675	[263, 282]	20
Q9UHB6	[379, 417]	39
Q9Y5Y6	[395, 417]	23
A6NCW7	[105, 131]	27
O95445	[146, 163]	18
P26436	[179, 264]	86
P55055	[76, 167]	92
P78386	[61, 103]	43
Q3BBV2	[628, 655]	28
Q3BBV2	[778, 812]	35
Q496H8	[76, 96]	21
Q6ZVN8	[30, 51]	22
Q6ZVN8	[69, 106]	38
Q8N7R7	[0, 21]	22
Q9H5I1	[219, 249]	31
Q9UH90	[0, 104]	105
Q9UMW8	[223, 242]	20
Q9Y252	[621, 681]	61
O43291	[75, 97]	23
O43291	[171, 189]	19
P20155	[35, 66]	32
P22528	[0, 82]	83
Q0VG06	[616, 646]	31
Q5VWM6	[445, 470]	26
Q6S9Z5	[276, 315]	40
Q8TDY4	[340, 389]	50
Q8TDY4	[430, 459]	30
Q96BW5	[25, 47]	23
Q9UBS8	[310, 331]	22
Q9UBS8	[393, 419]	27
C9JVI0	[101, 135]	35
D6RBQ6	[101, 135]	35
O15079	[287, 317]	31
P07327	[87, 135]	49
P0DPI3	[190, 234]	45
Q5VW22	[579, 607]	29
Q86VQ1	[349, 390]	42
Q96CS7	[42, 91]	50
Q9H8J5	[52, 72]	21
Q9NRQ2	[184, 214]	31
Q9NRR2	[187, 230]	44
A0A1B0GTH6	[465, 507]	43
O00548	[37, 57]	21
O00755	[121, 148]	28
O00755	[189, 220]	32
O00755	[267, 348]	82
O43526	[809, 858]	50
O43866	[27, 76]	50
P10600	[342, 357]	16
P57682	[311, 334]	24
Q15139	[285, 329]	45
Q15910	[275, 333]	59
Q86XK2	[383, 411]	29
Q86XK2	[847, 926]	80
Q8IU81	[491, 560]	70
Q96GW7	[639, 688]	50
Q96GW7	[849, 880]	32
Q9BYD5	[0, 83]	84
Q9UBX7	[171, 247]	77
A0A3B3IT33	[84, 102]	19
A0A3B3IT33	[112, 136]	25
A0AAG2UYG2	[36, 72]	37
A8MUK1	[101, 135]	35
Q01973	[232, 255]	24
Q01973	[275, 379]	105
Q15661	[207, 232]	26
Q16671	[67, 125]	59
Q7RTY5	[204, 225]	22
Q96T88	[291, 372]	82
O75326	[489, 510]	22
O75326	[572, 599]	28
O76096	[97, 113]	17
P15289	[150, 177]	28
P15289	[477, 506]	30
Q16515	[311, 348]	38
Q7Z4I7	[114, 140]	27
Q7Z4I7	[156, 210]	55
Q9HBH9	[237, 253]	17
Q9HBH9	[297, 323]	27
Q9NQZ6	[179, 212]	34
A0A0J9YWL9	[948, 987]	40
Q15283	[724, 750]	27
Q3YBR2	[224, 245]	22
Q6IPT4	[17, 36]	20
Q8N8U9	[490, 506]	17
Q8N8U9	[578, 684]	107
Q9BZR9	[29, 71]	43
Q9Y5L4	[35, 72]	38
C9JJH3	[105, 131]	27
O95868	[18, 104]	87
P01178	[20, 124]	105
P51693	[73, 218]	146
Q8WWW0	[113, 179]	67
Q93052	[405, 439]	35
Q93052	[466, 491]	26
Q93052	[531, 548]	18
Q93052	[566, 592]	27
Q93084	[593, 612]	20
Q9BY15	[94, 126]	33
Q9P055	[29, 47]	19
O14867	[546, 590]	45
O43189	[84, 135]	52
P05160	[61, 94]	34
P05160	[116, 162]	47
P05160	[257, 345]	89
P05160	[363, 405]	43
P05160	[429, 463]	35
P14210	[429, 484]	56
P14210	[642, 678]	37
P31276	[35, 78]	44
P31276	[131, 154]	24
P35030	[242, 267]	26
P43694	[206, 244]	39
P43694	[260, 304]	45
Q15057	[396, 421]	26
Q7Z2T5	[502, 522]	21
Q7Z5L0	[158, 183]	26
Q8WTU2	[116, 144]	29
Q8WTU2	[214, 232]	19
Q8WTU2	[252, 297]	46
Q8WTU2	[342, 452]	111
Q8WTU2	[469, 490]	22
Q8WTU2	[504, 525]	22
Q8WTU2	[547, 574]	28
Q9BX93	[64, 123]	60
Q9BX93	[179, 194]	16
Q9ULV1	[35, 54]	20
O43240	[154, 184]	31
O43240	[213, 235]	23
O76015	[131, 154]	24
O76015	[304, 358]	55
O76031	[94, 122]	29
P01730	[434, 457]	24
P0C7I0	[101, 131]	31
P0C7I0	[243, 263]	21
P0DV74	[36, 72]	37
P56277	[0, 67]	68
Q7Z434	[34, 50]	17
