Accession_number	Predicted_score
O75678	0.6337117552757263
Q14585	0.696746826171875
Q53EZ4	0.5816090106964111
Q7Z7K2	0.5963684916496277
Q9BRZ2	0.5797904133796692
Q9UL59	0.676284670829773
O43915	0.5931585431098938
Q8N823	0.6844231486320496
Q96QE4	0.5064165592193604
Q9NZV7	0.5632328987121582
Q9UK11	0.6133306622505188
O00451	0.7191298007965088
O14545	0.5272963643074036
P0DH78	0.5445250272750854
P24278	0.5012704133987427
P25445	0.5643232464790344
Q13114	0.5670424103736877
Q2TV78	0.6050627827644348
Q7Z4F1	0.7436827421188354
Q8TC92	0.5797552466392517
Q96NJ3	0.6279065012931824
Q9BY79	0.5895706415176392
O75078	0.6622289419174194
P55285	0.5270853042602539
Q03426	0.6140120029449463
Q86YH2	0.615116536617279
Q9BV97	0.5942678451538086
Q9Y2H8	0.6562173962593079
Q9Y5Y6	0.6693137288093567
A6NCL7	0.5080424547195435
P36269	0.5010685324668884
Q6PK81	0.6814871430397034
Q6ZVN8	0.5690712928771973
Q7RTV3	0.5538928508758545
Q9H5I1	0.5709292888641357
O43155	0.5902158617973328
Q06730	0.6593241691589355
Q06732	0.6714428663253784
Q0VG06	0.6074094772338867
Q0VGE8	0.6782030463218689
Q2QGD7	0.6481258869171143
Q6S9Z5	0.5379008650779724
Q8IVF1	0.5379681587219238
Q8NHL6	0.5748099684715271
Q9H6E5	0.524448812007904
Q9UBS8	0.5706343054771423
Q7Z6R9	0.7823188900947571
Q9NQ32	0.5893212556838989
O00548	0.7253383994102478
O15537	0.5117195844650269
P01871	0.5053706169128418
Q14584	0.6795010566711426
Q15910	0.6765828132629395
Q2KHN1	0.5908668041229248
Q68CJ9	0.5116982460021973
Q96GW7	0.574776828289032
Q9BUA6	0.5070586800575256
Q15813	0.5285958051681519
Q96T88	0.6065165400505066
Q9ULH4	0.5065807700157166
O75326	0.6853446364402771
P07204	0.71014803647995
P0CH99	0.6514022946357727
Q13822	0.704835832118988
Q6ZN32	0.5007928609848022
Q9UL17	0.592149019241333
Q03923	0.6663193106651306
Q13888	0.6705331802368164
Q60I27	0.5785551071166992
Q8N8U9	0.5527461171150208
Q8WYQ5	0.6266970634460449
Q9BZR9	0.5577096343040466
Q9HCL3	0.5844131708145142
O43187	0.5177052617073059
O75820	0.6668434739112854
Q63HN1	0.5153025984764099
Q8NB50	0.7118440866470337
Q9BXK1	0.5339773893356323
Q9BY15	0.6334561705589294
P05160	0.5718085765838623
P14210	0.6532328724861145
P43694	0.578612208366394
Q3SXZ3	0.6485444903373718
O94889	0.5508472323417664
P35789	0.6672093868255615
Q6ZS27	0.6571035981178284
Q96HD1	0.7175289392471313
Q9BU40	0.5928113460540771
Q9BV87	0.5361959338188171
Q9HC78	0.504713773727417
A2RUB1	0.517045795917511
P54764	0.6614905595779419
Q15928	0.6171408295631409
Q96K80	0.5373280048370361
Q9NS68	0.6065409183502197
O95436	0.5753688216209412
P0CI00	0.6431386470794678
Q30KQ8	0.5713971853256226
Q5VUG0	0.5161964297294617
Q86UZ6	0.56021648645401
Q86VK4	0.6495848298072815
Q9BU19	0.543648898601532
Q9HCX3	0.7163405418395996
Q9UJW2	0.6572368144989014
O14901	0.6076155304908752
Q68DI1	0.6476730704307556
Q8NEB7	0.5215064287185669
Q96JB3	0.5580292344093323
O14639	0.5763858556747437
O15541	0.6013857126235962
Q75N03	0.6159318685531616
Q8TC27	0.689310610294342
Q8WYP3	0.5460115075111389
Q9H013	0.7462011575698853
Q9NQX0	0.6172654628753662
P26010	0.6745953559875488
P98168	0.6513335108757019
Q147U1	0.6498391628265381
Q5T7W0	0.5269197821617126
Q9BWF3	0.5609478950500488
Q9H9P5	0.6516453623771667
Q9NYJ7	0.531035840511322
Q9UBN6	0.6070210933685303
Q9UHC7	0.58833909034729
Q9UKT9	0.5514434576034546
O15156	0.5705729722976685
Q01954	0.5398016571998596
Q13772	0.5456353425979614
Q5JVG2	0.691126823425293
Q6ZN11	0.6127967238426208
Q8NHY6	0.6450339555740356
Q8TB24	0.5061919689178467
Q92800	0.5624626874923706
Q9C040	0.5254228711128235
Q9H1B5	0.5070529580116272
Q86V20	0.5068622827529907
Q8IXZ2	0.6391821503639221
Q8NEG5	0.5186078548431396
Q8TC21	0.6741167306900024
Q96QE2	0.6137226223945618
Q9UM63	0.530758798122406
P50747	0.5079589486122131
Q5FWF6	0.589500367641449
Q6ZNH5	0.668921947479248
Q6ZWE6	0.5610905885696411
