Accession_number	Protein_name	GO_ID
A0A087WUV0	Zinc finger protein 892	{'GO:0000978', 'GO:0000122', 'GO:0006355', 'GO:0001227', 'GO:0043565', 'GO:0005634', 'GO:0000981', 'GO:0006357', 'GO:0005654'}
A0A096LNW5	Notch homolog 2 N-terminal-like protein R	{'GO:0048513', 'GO:0005509', 'GO:0005576', 'GO:0048731', 'GO:0009967'}
A0A0G2JMH3	ADP-ribosylation factor-like protein 17 C-terminal domain-containing protein	{'GO:0006886', 'GO:0005525', 'GO:0005886', 'GO:0005737', 'GO:0016192', 'GO:0003924'}
A0A140TA62	IF rod domain-containing protein	{'GO:0005829', 'GO:0005856', 'GO:0005198', 'GO:0030280', 'GO:0030855', 'GO:0045109', 'GO:0002009', 'GO:0045095'}
A0A1B0GTW7	Ciliated left-right organizer metallopeptidase	{'GO:0004222', 'GO:0061966', 'GO:0008233', 'GO:0005737', 'GO:0016020', 'GO:0006508', 'GO:0007155'}
A0A1W2PPK0	Cytoplasmic polyadenylated homeobox-like protein 2	{'GO:0000978', 'GO:0003677', 'GO:0005634', 'GO:0000981', 'GO:0006357'}
A0A1W2PPM1	Cytoplasmic polyadenylated homeobox-like protein	{'GO:0000978', 'GO:0003677', 'GO:0005634', 'GO:0000981', 'GO:0006357'}
A0A1W2PQL4	Zinc finger protein 722	{'GO:0000978', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0006357'}
A0A5F9ZHS7	NFIL3 like protein	{'GO:0003677', 'GO:0006355', 'GO:0007623', 'GO:0005634', 'GO:0003700'}
A0A7P0TAN4	Uncharacterized protein	{'GO:0000978', 'GO:0001228', 'GO:0006355', 'GO:0045892', 'GO:0043565', 'GO:0005634', 'GO:0045944', 'GO:0006357'}
A0A8I5KTY6	C2H2-type domain-containing protein	{'GO:0005634'}
A0AAG2UUX9	Contactin-associated protein-like 3	{'GO:0016020'}
A0ABJ7H351	RING-type E3 ubiquitin transferase	{'GO:0061630', 'GO:0000209', 'GO:0046872'}
A0AUZ9	KAT8 regulatory NSL complex subunit 1-like protein	{'GO:0000123', 'GO:0044545', 'GO:0035035', 'GO:1902562'}
A0PJY2	Fez family zinc finger protein 1	{'GO:0000978', 'GO:0000122', 'GO:0021537', 'GO:0045893', 'GO:0043697', 'GO:0050767', 'GO:0001227', 'GO:0043565', 'GO:0003700', 'GO:0005634', 'GO:0000976', 'GO:0005515', 'GO:0006357', 'GO:0005654', 'GO:0008285'}
A1L020	RNA-binding protein MEX3A	{'GO:0005829', 'GO:0003723', 'GO:0005634', 'GO:0000932', 'GO:0003676', 'GO:0005737'}
A1L4K1	Fibronectin type III and SPRY domain-containing protein 2	{'GO:0016529', 'GO:0005515', 'GO:0048471', 'GO:0005634'}
A1YPR0	Zinc finger and BTB domain-containing protein 7C	{'GO:0000978', 'GO:0005634', 'GO:0000981', 'GO:0006357', 'GO:0008285'}
A2RRD8	Zinc finger protein 320	{'GO:0000978', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357'}
A2RU30	Protein TESPA1	{'GO:0005102', 'GO:0050862', 'GO:0005829', 'GO:0008180', 'GO:0008104', 'GO:0043274', 'GO:0005789', 'GO:0005737', 'GO:0010387', 'GO:0036399', 'GO:0033089', 'GO:0036398'}
A2RUB1	Meiosis-specific coiled-coil domain-containing protein MEIOC	{'GO:0006302', 'GO:0007130', 'GO:0070192', 'GO:0051729', 'GO:0005634', 'GO:0048599', 'GO:0007141', 'GO:0007286', 'GO:0005737', 'GO:0007283', 'GO:0051321', 'GO:0051310', 'GO:0048255', 'GO:0007144'}
A4QPH2	Putative phosphatidylinositol 4-kinase alpha-like protein P2	{'GO:0016301', 'GO:0046854'}
A5D8T8	C-type lectin domain family 18 member A	{'GO:0005783', 'GO:0005794', 'GO:0005576', 'GO:0005768', 'GO:0005515', 'GO:0030247', 'GO:0060090'}
A6NC86	phospholipase A2 inhibitor and Ly6/PLAUR domain-containing protein	{'GO:0004859', 'GO:0005576'}
A6NDX5	Zinc finger protein 840	{'GO:0006355', 'GO:0000976', 'GO:0006357', 'GO:0005634'}
A6NF34	Anthrax toxin receptor-like	{'GO:0005886', 'GO:0004888', 'GO:0016020', 'GO:0038023', 'GO:0009986'}
A6NGJ6	Tripartite motif-containing protein 64	{'GO:0061630', 'GO:0046872', 'GO:0008270', 'GO:0005737', 'GO:0045087', 'GO:0010468'}
A6NHJ4	Zinc finger protein 860	{'GO:0000978', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357'}
A6NI03	Tripartite motif-containing protein 64B	{'GO:0061630', 'GO:0046872', 'GO:0008270', 'GO:0005737', 'GO:0045087', 'GO:0010468'}
A6NIN4	RING finger protein 227	{'GO:0016567', 'GO:0061630'}
A6NJL1	Zinc finger and SCAN domain-containing protein 5B	{'GO:0000978', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357'}
A6NJT0	Homeobox protein unc-4 homolog	{'GO:0003677', 'GO:1990837', 'GO:0000785', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0006357', 'GO:0010468'}
A6NJW4	Leucine-rich repeat-containing protein 3C	{'GO:0005886', 'GO:0038023', 'GO:0016020'}
A6NK02	Tripartite motif-containing protein 75	{'GO:0061630', 'GO:0005819', 'GO:0008270', 'GO:0005634', 'GO:0005737', 'GO:0005576', 'GO:0045087', 'GO:0010468', 'GO:0007144'}
A6NK53	Zinc finger protein 233	{'GO:0006355', 'GO:0005634', 'GO:0003700'}
A6NLI5	Tripartite motif-containing protein 64C	{'GO:0061630', 'GO:0008270', 'GO:0005737', 'GO:0045087', 'GO:0010468'}
A6NM28	Zinc finger protein 92 homolog	{'GO:0000978', 'GO:0000122', 'GO:0006355', 'GO:0001227', 'GO:0010906', 'GO:0005634', 'GO:0000981', 'GO:0010526', 'GO:0019216', 'GO:0006357'}
A6NMN3	Protein FAM170B	{'GO:0009566', 'GO:0001669', 'GO:0002081', 'GO:0080154', 'GO:2000344', 'GO:0005515'}
A6NNF4	Zinc finger protein 726	{'GO:0000978', 'GO:0000122', 'GO:0006355', 'GO:0003700', 'GO:0005634', 'GO:0005515'}
A6NP11	Zinc finger protein 716	{'GO:0000978', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0006357'}
A7XYQ1	Sine oculis-binding protein homolog	{'GO:0050890', 'GO:0042472', 'GO:0048513', 'GO:0032184', 'GO:0008270', 'GO:0005634', 'GO:0090102'}
A8K8V0	Zinc finger protein 785	{'GO:0000977', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357'}
A8MT65	Zinc finger protein 891	{'GO:0000977', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0006357'}
A8MTQ0	Homeobox protein notochord	{'GO:0000978', 'GO:0003677', 'GO:1990837', 'GO:0007417', 'GO:0000785', 'GO:0005634', 'GO:0000981', 'GO:0007420', 'GO:0030182', 'GO:0005515', 'GO:0006357'}
A8MTY0	Zinc finger protein 724	{'GO:0000978', 'GO:0000122', 'GO:0006355', 'GO:0005634', 'GO:0000981'}
A8MUP2	Citrate synthase-lysine N-methyltransferase CSKMT, mitochondrial	{'GO:0018023', 'GO:0016278', 'GO:0005739', 'GO:0005759', 'GO:0018027', 'GO:0006099', 'GO:0018026', 'GO:0005515', 'GO:0016279'}
A8MUV8	Zinc finger protein 727	{'GO:0000978', 'GO:0003690', 'GO:0000122', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0005737'}
A8MUZ8	Putative zinc finger protein 705G	{'GO:0000977', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0006357'}
A8MWA4	Putative zinc finger protein 705EP	{'GO:0000977', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0006357'}
A8MXY4	Zinc finger protein 99	{'GO:0000122', 'GO:0006355', 'GO:0001227', 'GO:0005634', 'GO:0000976', 'GO:0006357'}
B1AKI9	Isthmin-1	{'GO:0016525', 'GO:0005576'}
B2RUY7	von Willebrand factor C domain-containing protein 2-like	{'GO:0032281', 'GO:0005576', 'GO:0045202', 'GO:0005515', 'GO:0030514'}
B2RXF5	Zinc finger and BTB domain-containing protein 42	{'GO:0005634', 'GO:0000981', 'GO:0005737', 'GO:0005515', 'GO:0006357', 'GO:0005654', 'GO:0007517'}
B4DU55	Zinc finger protein 879	{'GO:0000978', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0006357'}
B4DX44	Zinc finger protein 736	{'GO:0000978', 'GO:0000122', 'GO:0006355', 'GO:0005634', 'GO:0000981'}
B4DXR9	Zinc finger protein 732	{'GO:0000978', 'GO:0003690', 'GO:0000122', 'GO:0006355', 'GO:0005634', 'GO:0000981'}
B6SEH8	Endogenous retrovirus group V member 1 Env polyprotein	{'GO:0016020'}
B6SEH9	Endogenous retrovirus group V member 2 Env polyprotein	{'GO:0016020'}
B7Z6K7	Zinc finger protein 814	{'GO:1990837', 'GO:0000122', 'GO:0006355', 'GO:0005634', 'GO:0000976'}
C9JH25	Proline-rich transmembrane protein 4	{'GO:0016020'}
C9JN71	Zinc finger protein 878	{'GO:0000977', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0006357'}
E7ETH6	Zinc finger protein 587B	{'GO:0000977', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0006357'}
F8WCM5	Insulin, isoform 2	{'GO:0007165', 'GO:0005179', 'GO:0005576', 'GO:0005158'}
I3L3L1	Putative ADP-ribosylation factor-like protein 17B	{'GO:0005525', 'GO:0003924'}
O00110	Putative transcription factor ovo-like protein 3	{'GO:0000978', 'GO:0003677', 'GO:0045596', 'GO:0045616', 'GO:0000122', 'GO:0000785', 'GO:0009968', 'GO:0005634', 'GO:0010837', 'GO:0000981', 'GO:0051241', 'GO:0006357', 'GO:0009913'}
O00220	Tumor necrosis factor receptor superfamily member 10A	{'GO:0005886', 'GO:0008625', 'GO:0097191', 'GO:0009986', 'GO:0005829', 'GO:0007165', 'GO:0045121', 'GO:0042802', 'GO:0071260', 'GO:0036462', 'GO:0005515', 'GO:0044853', 'GO:0038023', 'GO:0002020', 'GO:0006915', 'GO:0043065', 'GO:0005794', 'GO:0007250', 'GO:0045569', 'GO:0005035'}
O00300	Tumor necrosis factor receptor superfamily member 11B	{'GO:0005125', 'GO:0005886', 'GO:0031012', 'GO:1904399', 'GO:0007165', 'GO:0001501', 'GO:0005576', 'GO:0005515', 'GO:0038023', 'GO:0043235'}
O00311	Cell division cycle 7-related protein kinase	{'GO:0010971', 'GO:0016301', 'GO:0033314', 'GO:0010571', 'GO:0072686', 'GO:0106310', 'GO:0005524', 'GO:0007165', 'GO:0044770', 'GO:0000727', 'GO:0005737', 'GO:0031431', 'GO:0005515', 'GO:0004672', 'GO:0008284', 'GO:0031573', 'GO:0005634', 'GO:0000082', 'GO:0045171', 'GO:0004674', 'GO:0005654'}
O00337	Sodium/nucleoside cotransporter 1	{'GO:0045117', 'GO:0015212', 'GO:0005886', 'GO:0015855', 'GO:0005337', 'GO:1901474', 'GO:0005345', 'GO:0015861', 'GO:0031526', 'GO:1901642', 'GO:0005415', 'GO:1904823', 'GO:0015389', 'GO:0016324', 'GO:0015213', 'GO:0016020', 'GO:0015862', 'GO:0072531', 'GO:0180015'}
O00339	Matrilin-2	{'GO:0005201', 'GO:0120216', 'GO:0031012', 'GO:0005509', 'GO:0030198', 'GO:0140144', 'GO:0005576', 'GO:0005515', 'GO:0140149'}
