Accession_number	Region	Region_length
O75678	[51, 74]	24
Q05329	[62, 85]	24
Q14585	[0, 29]	30
Q14585	[81, 160]	80
Q7RTU4	[120, 140]	21
Q7Z7K2	[64, 95]	32
Q7Z7K2	[151, 202]	52
Q7Z7K2	[346, 446]	101
Q8IXZ3	[321, 402]	82
Q8IZ63	[0, 17]	18
Q8IZJ1	[252, 362]	111
Q8N1N2	[12, 78]	67
Q8N1N2	[120, 152]	33
Q8NAF0	[38, 86]	49
Q8NAF0	[233, 251]	19
Q8NAF0	[264, 312]	49
Q8NAF0	[375, 426]	52
Q9BRZ2	[88, 146]	59
Q9BT23	[29, 48]	20
Q9UL59	[237, 286]	50
Q9Y5H7	[722, 740]	19
D6RCP7	[34, 61]	28
O43915	[178, 353]	176
P51970	[28, 62]	35
Q53GD3	[105, 128]	24
Q5EBM0	[65, 94]	30
Q5TC79	[420, 464]	45
Q8N823	[222, 384]	163
Q96C00	[375, 397]	23
Q96C00	[429, 455]	27
Q96QE4	[510, 535]	26
Q96QE4	[735, 756]	22
Q9NZV7	[304, 410]	107
Q9NZV7	[454, 526]	73
Q9UK11	[139, 191]	53
Q9UK11	[209, 316]	108
Q9Y297	[32, 114]	83
A6NC57	[426, 444]	19
O00321	[167, 241]	75
O14545	[2, 144]	143
O14545	[282, 321]	40
O14545	[359, 398]	40
O43283	[696, 744]	49
O43283	[900, 959]	60
P08588	[440, 476]	37
P0DH78	[102, 155]	54
P25445	[42, 172]	131
Q03828	[376, 401]	26
Q13114	[42, 248]	207
Q13118	[154, 179]	26
Q13118	[191, 221]	31
Q13118	[360, 415]	56
Q2TV78	[293, 318]	26
Q2TV78	[415, 481]	67
Q2YD98	[220, 262]	43
Q5VTJ3	[503, 519]	17
Q659A1	[558, 593]	36
Q7Z4F1	[308, 435]	128
Q96NJ3	[179, 246]	68
Q96NJ3	[503, 554]	52
Q9BY79	[11, 43]	33
Q9BY79	[412, 472]	61
Q9Y6F6	[0, 16]	17
O14512	[22, 42]	21
O14512	[69, 89]	21
O43638	[201, 224]	24
O43766	[95, 153]	59
O75078	[432, 592]	161
O75078	[622, 718]	97
P55285	[580, 600]	21
Q5H8A4	[597, 637]	41
Q64ET8	[1, 26]	26
Q86YH2	[334, 380]	47
Q86YH2	[390, 429]	40
Q86YH2	[448, 491]	44
Q8N878	[502, 542]	41
Q99675	[310, 328]	19
Q9BV97	[172, 189]	18
Q9BV97	[200, 251]	52
Q9Y2H8	[192, 216]	25
Q9Y2H8	[245, 278]	34
Q9Y2H8	[395, 474]	80
Q9Y5Y6	[442, 613]	172
A9YTQ3	[342, 364]	23
A9YTQ3	[426, 446]	21
A9YTQ3	[512, 557]	46
A9YTQ3	[605, 655]	51
P78386	[0, 39]	40
P78386	[424, 463]	40
P78386	[475, 504]	30
Q496H8	[0, 17]	18
Q6PK81	[182, 233]	52
Q6ZVN8	[137, 182]	46
Q7RTV3	[158, 211]	54
Q8NEC7	[606, 630]	25
O43155	[637, 659]	23
P02748	[26, 151]	126
Q06730	[235, 254]	20
Q06730	[268, 370]	103
Q06730	[531, 763]	233
Q06730	[788, 808]	21
Q06732	[236, 255]	20
Q06732	[269, 371]	103
Q0VG06	[334, 411]	78
Q0VGE8	[212, 439]	228
Q13115	[172, 192]	21
Q2QGD7	[171, 224]	54
Q2QGD7	[337, 364]	28
Q2QGD7	[379, 435]	57
Q5W0U4	[17, 60]	44
Q6S9Z5	[157, 252]	96
Q8IVF1	[1, 68]	68
Q8IVF1	[97, 120]	24
Q8NER5	[138, 159]	22
Q9H6E5	[555, 583]	29
Q9UBS8	[257, 277]	21
C9JVI0	[34, 61]	28
D6RBQ6	[34, 61]	28
Q5T764	[127, 152]	26
Q8N3Y3	[30, 56]	27
Q9NQ32	[231, 297]	67
Q9NQ32	[331, 351]	21
O00548	[185, 525]	341
O00548	[568, 605]	38
O15537	[27, 55]	29
O43526	[417, 438]	22
Q14584	[72, 104]	33
Q14584	[123, 422]	300
Q15910	[489, 613]	125
Q2KHN1	[17, 169]	153
Q68CJ9	[112, 135]	24
Q6ZVT6	[476, 497]	22
Q6ZVT6	[662, 685]	24
Q86XK2	[352, 367]	16
Q86XT9	[152, 176]	25
Q96BR5	[13, 42]	30
A0A3B3IT33	[49, 73]	25
A8MUK1	[34, 61]	28
Q15813	[130, 150]	21
Q16671	[17, 33]	17
Q16671	[464, 572]	109
Q4G163	[117, 154]	38
Q4G163	[629, 660]	32
Q4G163	[672, 690]	19
Q5FWF5	[203, 229]	27
Q5W111	[2, 21]	20
Q5W111	[38, 59]	22
Q86WR7	[76, 97]	22
Q96T88	[392, 419]	28
O76096	[13, 35]	23
P07204	[19, 34]	16
P07204	[214, 489]	276
P0CH99	[114, 267]	154
P51888	[62, 88]	27
Q13822	[48, 157]	110
Q14314	[29, 58]	30
Q14314	[88, 108]	21
Q6ZN32	[205, 220]	16
Q8IW03	[62, 84]	23
Q8N5Z5	[278, 310]	33
Q8TBP0	[713, 744]	32
Q96KS0	[33, 53]	21
Q9BR61	[248, 276]	29
Q9HBH9	[360, 389]	30
Q03923	[96, 146]	51
Q03923	[161, 246]	86
Q60I27	[329, 372]	44
Q8N8U9	[67, 233]	167
Q8N8U9	[245, 370]	126
Q8N8U9	[527, 568]	42
Q96P44	[405, 453]	49
Q9BZR9	[85, 130]	46
Q9BZR9	[461, 484]	24
Q9HCL3	[191, 242]	52
Q9HCL3	[415, 466]	52
A8MT70	[113, 148]	36
C9JJH3	[34, 61]	28
O43187	[433, 500]	68
O75820	[136, 190]	55
P03999	[317, 336]	20
P09603	[162, 200]	39
P42681	[12, 28]	17
Q6NSW7	[0, 38]	39
Q6P6B7	[0, 44]	45
Q8NB50	[132, 183]	52
Q8NB50	[412, 466]	55
Q96CX6	[328, 348]	21
Q9BQ31	[469, 490]	22
Q9BXK1	[120, 173]	54
Q9BY15	[22, 76]	55
Q9BYQ3	[0, 158]	159
O14867	[136, 159]	24
O14867	[173, 233]	61
O14867	[252, 286]	35
O14867	[401, 421]	21
O14867	[450, 531]	82
O14867	[610, 640]	31
O14867	[704, 735]	32
O95644	[159, 191]	33
O95644	[732, 760]	29
P05160	[494, 531]	38
P05160	[637, 655]	19
P14210	[166, 416]	251
P35030	[0, 30]	31
Q3SXZ3	[104, 143]	40
Q3SXZ3	[162, 213]	52
Q7Z2T5	[110, 141]	32
Q7Z2T5	[155, 173]	19
Q86YR6	[0, 49]	50
Q96PT3	[3, 23]	21
Q9ULV1	[142, 167]	26
O76015	[0, 101]	102
O76015	[402, 455]	54
O76031	[0, 18]	19
P08571	[19, 40]	22
