Accession_number	Region	Region_length
Q53HC9	[95, 121]	27
Q5T0L3	[56, 142]	87
Q5T0L3	[169, 202]	34
Q5VWG9	[856, 917]	62
Q6UWY2	[204, 230]	27
Q6ZMT1	[104, 171]	68
Q6ZMT1	[371, 410]	40
Q8IZ63	[75, 91]	17
Q8IZ63	[336, 358]	23
Q8IZJ1	[253, 339]	87
Q8N4H0	[110, 126]	17
Q9BT23	[32, 82]	51
Q9NRY6	[94, 174]	81
Q9NV35	[13, 29]	17
Q9Y662	[333, 359]	27
D6RCP7	[79, 131]	53
O43820	[357, 373]	17
P06858	[287, 319]	33
P06858	[447, 474]	28
P49720	[1, 20]	20
P61513	[17, 64]	48
P78424	[507, 530]	24
Q07325	[31, 56]	26
Q30KP8	[26, 58]	33
Q53GD3	[399, 420]	22
Q5H9L4	[172, 200]	29
Q5SWX8	[276, 291]	16
Q8WTW3	[78, 93]	16
Q92918	[594, 621]	28
Q9BYR6	[0, 97]	98
Q9H2C1	[24, 133]	110
A6NI28	[842, 863]	22
A8MVZ5	[141, 197]	57
O00451	[28, 87]	60
O75969	[421, 474]	54
O75969	[686, 713]	28
O75969	[741, 759]	19
O95274	[23, 62]	40
O95274	[107, 233]	127
O95677	[425, 450]	26
P24278	[231, 258]	28
Q13114	[34, 110]	77
Q2TV78	[350, 392]	43
Q2TV78	[640, 666]	27
Q2WGJ6	[503, 580]	78
Q659A1	[882, 923]	42
Q6PEW0	[202, 221]	20
Q6ZWI9	[0, 24]	25
Q7Z4F1	[147, 193]	47
Q86UF1	[170, 204]	35
Q8NBB4	[89, 130]	42
Q8NBB4	[310, 339]	30
Q8NCW6	[543, 607]	65
Q8TAS1	[27, 63]	37
Q9BY79	[273, 310]	38
Q9BY79	[527, 572]	46
Q9NY74	[576, 595]	20
Q9UKV8	[268, 309]	42
Q9UKV8	[355, 371]	17
A0FGR8	[592, 625]	34
O00222	[506, 573]	68
O43638	[74, 111]	38
O43766	[69, 84]	16
P10912	[49, 73]	25
P10912	[606, 627]	22
P43268	[265, 330]	66
P55773	[39, 119]	81
P57764	[445, 463]	19
Q15031	[471, 520]	50
Q5H8A4	[263, 283]	21
Q6UXB8	[113, 207]	95
Q99675	[265, 323]	59
Q9UHB6	[385, 469]	85
A6NCW7	[81, 125]	45
O95445	[157, 187]	31
P26436	[180, 264]	85
P36269	[429, 451]	23
P55055	[78, 165]	88
Q14765	[402, 424]	23
Q15366	[278, 308]	31
Q3BBV2	[637, 671]	35
Q6ZVN8	[77, 125]	49
Q6ZVN8	[317, 343]	27
Q8WUM9	[392, 419]	28
Q9H5I1	[221, 247]	27
Q9H9G7	[354, 371]	18
Q9UH90	[5, 146]	142
Q9UH90	[661, 696]	36
Q9UMW8	[218, 243]	26
Q9Y252	[618, 644]	27
