Accession_number	Region	Domain
O75093	[33, 54]	Ribonuclease Inhibitor
O75093	[503, 535]	Ribonuclease Inhibitor
O75678	[99, 150]	Zinc/RING finger domain, C3HC4 (zinc finger)
P49821	[374, 391]	NADH-ubiquinone oxidoreductase 51kDa subunit, iron-sulphur binding domain
Q5VWG9	[860, 921]	Zinc/RING finger domain, C3HC4 (zinc finger)
Q6UWY2	[191, 226]	Trypsin-like serine proteases
Q6ZMT1	[113, 170]	-
Q7Z7K2	[151, 202]	Classic Zinc Finger
Q8IWV7	[100, 128]	-
Q8IWV7	[138, 186]	-
Q8NAF0	[38, 86]	Classic Zinc Finger
Q8NAF0	[264, 312]	Classic Zinc Finger
Q8NAF0	[375, 426]	Classic Zinc Finger
Q8WWI1	[1603, 1620]	Cysteine Rich Protein
Q8WWI1	[1638, 1680]	Cysteine Rich Protein
Q9BRZ2	[28, 68]	Zinc/RING finger domain, C3HC4 (zinc finger)
Q9BRZ2	[88, 146]	Classic Zinc Finger
Q9BRZ2	[158, 211]	Classic Zinc Finger
Q9BT23	[29, 48]	Cysteine Rich Protein
Q9C0I4	[1027, 1055]	Thrombospondin type-1 (TSP1) repeat
Q9UL59	[237, 286]	Classic Zinc Finger
D6RCP7	[101, 135]	Cysteine proteinases
O43820	[352, 376]	Aldolase class I
O43820	[400, 415]	Aldolase class I
O43915	[103, 156]	Cystine-knot cytokines
P06858	[289, 305]	alpha/beta hydrolase
Q12802	[1796, 1847]	-
Q5TC79	[420, 464]	Classic Zinc Finger
Q92954	[23, 113]	-
Q96C00	[375, 397]	Classic Zinc Finger
Q96C00	[429, 455]	Classic Zinc Finger
Q96QE4	[510, 535]	Ribonuclease Inhibitor
Q96QE4	[735, 756]	Ribonuclease Inhibitor
O00321	[167, 241]	Winged helix-like DNA-binding domain superfamily/Winged helix DNA-binding domain
O00451	[217, 298]	GDNF binding domain
O00451	[312, 356]	GDNF binding domain
O95274	[32, 65]	CD59
O95274	[110, 230]	CD59
P0DH78	[13, 80]	Zinc/RING finger domain, C3HC4 (zinc finger)
P20701	[62, 83]	Integrin alpha, N-terminal
P24723	[211, 233]	-
Q13114	[42, 248]	Zinc/RING finger domain, C3HC4 (zinc finger)
Q13118	[360, 415]	Classic Zinc Finger
Q2TV78	[116, 262]	Plasminogen Kringle 4
Q2TV78	[293, 318]	Plasminogen Kringle 4
Q2TV78	[336, 384]	Plasminogen Kringle 4
Q2TV78	[415, 481]	Plasminogen Kringle 4
Q2TV78	[635, 660]	Trypsin-like serine proteases
Q5VTJ3	[503, 519]	Kelch-type beta propeller
Q6PEW0	[198, 224]	Trypsin-like serine proteases
Q7Z4F1	[147, 191]	Low-density Lipoprotein Receptor
Q86UF1	[170, 190]	Tetraspanin
Q8NBB4	[311, 334]	Classic Zinc Finger
Q8NBB4	[371, 394]	Classic Zinc Finger
