Accession_number	Start	End	Predicted_score
O75678	77	160	0.6337117552757263
Q14585	76	487	0.696746826171875
Q53EZ4	440	463	0.5816090106964111
Q7Z7K2	148	321	0.5963684916496277
Q7Z7K2	349	392	0.5318067669868469
Q9BRZ2	1	232	0.5797904133796692
Q9UL59	212	603	0.676284670829773
O43915	107	343	0.5931585431098938
Q8N823	228	703	0.6844231486320496
Q96QE4	515	554	0.5064165592193604
Q9NZV7	325	412	0.5632328987121582
Q9NZV7	442	526	0.6086068153381348
Q9UK11	143	481	0.6133306622505188
O00451	145	359	0.7191298007965088
O14545	0	142	0.5272963643074036
P0DH78	15	87	0.5445250272750854
P24278	327	414	0.5012704133987427
P25445	40	191	0.5643232464790344
Q13114	137	266	0.5670424103736877
Q2TV78	42	250	0.6050627827644348
Q2TV78	289	318	0.5644618272781372
Q7Z4F1	312	430	0.7436827421188354
Q8TC92	59	143	0.5797552466392517
Q96NJ3	222	587	0.6279065012931824
Q9BY79	419	474	0.5895706415176392
O75078	140	212	0.6622289419174194
O75078	420	592	0.698228120803833
O75078	656	715	0.7340311408042908
P55285	577	603	0.5270853042602539
Q03426	318	395	0.6140120029449463
Q86YH2	290	485	0.615116536617279
Q9BV97	173	285	0.5942678451538086
Q9Y2H8	397	682	0.6562173962593079
Q9Y5Y6	449	624	0.6693137288093567
A6NCL7	318	343	0.5080424547195435
P36269	36	54	0.5010685324668884
Q6PK81	183	440	0.6814871430397034
Q6ZVN8	21	48	0.5690712928771973
Q6ZVN8	143	169	0.6221609711647034
Q7RTV3	157	253	0.5538928508758545
Q9H5I1	375	409	0.5709292888641357
O43155	621	652	0.5902158617973328
Q06730	212	778	0.6593241691589355
Q06732	205	777	0.6714428663253784
Q0VG06	338	455	0.6074094772338867
Q0VGE8	191	650	0.6782030463218689
Q2QGD7	176	449	0.6481258869171143
Q6S9Z5	83	128	0.5379008650779724
Q6S9Z5	210	257	0.5477798581123352
Q8IVF1	61	152	0.5379681587219238
Q8NHL6	146	183	0.5748099684715271
Q9H6E5	538	585	0.524448812007904
Q9UBS8	391	470	0.5706343054771423
Q7Z6R9	178	222	0.7823188900947571
Q9NQ32	233	304	0.5893212556838989
O00548	182	527	0.7253383994102478
O15537	26	86	0.5117195844650269
P01871	0	28	0.5053706169128418
Q14584	80	547	0.6795010566711426
Q15910	491	614	0.6765828132629395
Q2KHN1	6	168	0.5908668041229248
Q68CJ9	134	235	0.5116982460021973
Q96GW7	642	711	0.574776828289032
Q9BUA6	42	96	0.5070586800575256
Q15813	129	158	0.5285958051681519
Q96T88	285	382	0.6065165400505066
Q9ULH4	0	21	0.5065807700157166
O75326	479	537	0.6853446364402771
P07204	171	477	0.71014803647995
P0CH99	122	299	0.6514022946357727
Q13822	46	162	0.704835832118988
Q6ZN32	203	245	0.5007928609848022
Q9UL17	328	357	0.592149019241333
Q03923	90	589	0.6663193106651306
Q13888	267	394	0.6705331802368164
Q60I27	566	656	0.5785551071166992
Q8N8U9	527	684	0.5527461171150208
Q8WYQ5	143	164	0.6266970634460449
Q9BZR9	0	191	0.5577096343040466
Q9HCL3	163	532	0.5844131708145142
O43187	458	509	0.5177052617073059
O75820	135	625	0.6668434739112854
Q63HN1	70	117	0.5153025984764099
Q8NB50	136	347	0.7118440866470337
Q8NB50	358	876	0.6964830756187439
Q9BXK1	128	207	0.5339773893356323
Q9BY15	17	109	0.6334561705589294
P05160	114	182	0.5718085765838623
P14210	109	453	0.6532328724861145
P43694	203	310	0.578612208366394
Q3SXZ3	89	476	0.6485444903373718
O94889	224	277	0.5508472323417664
P35789	106	618	0.6672093868255615
Q6ZS27	197	425	0.6571035981178284
Q96HD1	128	352	0.7175289392471313
Q9BU40	27	192	0.5928113460540771
Q9BV87	255	364	0.5361959338188171
Q9HC78	233	258	0.504713773727417
A2RUB1	254	339	0.517045795917511
P54764	233	339	0.6614905595779419
Q15928	101	473	0.6171408295631409
Q96K80	37	170	0.5373280048370361
Q9NS68	19	160	0.6065409183502197
Q9NS68	209	269	0.61568683385849
O95436	618	649	0.5753688216209412
P0CI00	119	299	0.6431386470794678
Q30KQ8	33	102	0.5713971853256226
Q5VUG0	625	671	0.5161964297294617
Q86UZ6	420	500	0.56021648645401
Q86VK4	266	357	0.6495848298072815
Q9BU19	320	465	0.543648898601532
Q9HCX3	112	641	0.7163405418395996
Q9UJW2	47	152	0.6572368144989014
O14901	208	257	0.6076155304908752
O14901	351	481	0.6143010258674622
Q68DI1	175	517	0.6476730704307556
Q8NEB7	360	407	0.5215064287185669
Q96JB3	504	614	0.5580292344093323
O14639	44	109	0.5763858556747437
O14639	179	342	0.693243145942688
O15541	191	318	0.6013857126235962
Q75N03	128	193	0.6159318685531616
Q8TC27	329	541	0.689310610294342
Q8TC27	590	662	0.6262762546539307
Q8WYP3	227	283	0.5460115075111389
Q9H013	335	681	0.7462011575698853
Q9NQX0	484	582	0.6172654628753662
P26010	469	680	0.6745953559875488
P98168	285	584	0.6513335108757019
Q147U1	169	297	0.6498391628265381
Q147U1	380	532	0.6479840278625488
Q5T7W0	148	222	0.5269197821617126
Q9BWF3	140	195	0.5609478950500488
Q9H9P5	27	160	0.6516453623771667
Q9H9P5	184	324	0.5279116034507751
Q9NYJ7	170	255	0.531035840511322
Q9NYJ7	265	468	0.7075262665748596
Q9UBN6	88	175	0.6070210933685303
Q9UHC7	52	113	0.58833909034729
Q9UHC7	205	343	0.560883104801178
Q9UKT9	97	272	0.5514434576034546
O15156	341	465	0.5705729722976685
Q01954	899	975	0.5398016571998596
Q13772	320	435	0.5456353425979614
Q5JVG2	167	811	0.691126823425293
Q6ZN11	112	399	0.6127967238426208
Q8NHY6	377	832	0.6450339555740356
Q8TB24	205	246	0.5061919689178467
Q92800	284	364	0.5624626874923706
Q92800	495	612	0.651772677898407
Q9C040	28	167	0.5254228711128235
Q9H1B5	161	223	0.5070529580116272
Q86V20	57	93	0.5068622827529907
Q86V20	122	235	0.5746760964393616
Q8IXZ2	650	800	0.6391821503639221
Q8NEG5	136	280	0.5186078548431396
Q8TC21	180	500	0.6741167306900024
Q96QE2	421	488	0.6137226223945618
Q9UM63	0	172	0.530758798122406
P50747	101	131	0.5079589486122131
Q5FWF6	159	423	0.589500367641449
Q6ZNH5	100	493	0.668921947479248
Q6ZWE6	507	539	0.5610905885696411
Q8N988	85	422	0.6570026874542236
Q96HQ0	193	507	0.6512957811355591
Q9BWW7	202	327	0.5847761034965515
O00622	18	172	0.667649507522583
O00622	184	375	0.6071229577064514
P04003	323	455	0.6690396666526794
P04003	467	581	0.5753138065338135
Q15650	148	251	0.5518386960029602
Q6ZMY9	171	338	0.6775517463684082
Q6ZMY9	366	478	0.6197200417518616
Q86TJ5	228	537	0.6328345537185669
A6NEQ0	418	460	0.5177874565124512
P17031	150	322	0.6680320501327515
P17031	353	532	0.6367108821868896
Q5RL73	161	217	0.5228127241134644
Q8N8Z8	64	692	0.6496716141700745
Q96EG3	261	523	0.586381733417511
Q96JF6	114	735	0.6389043927192688
A8MUZ8	117	299	0.6432469487190247
O94769	60	172	0.6010290384292603
O95631	251	489	0.6126689910888672
P17032	169	553	0.6415209770202637
Q6ZNE9	509	570	0.5621921420097351
Q7Z3V5	72	317	0.581108570098877
Q7Z3V5	468	608	0.5668683052062988
Q8N554	503	577	0.5024557113647461
Q8TCV5	34	138	0.624473512172699
Q96JP5	491	541	0.5663983225822449
Q9NS98	521	587	0.5733882784843445
P21128	9	154	0.5574461817741394
B7Z6K7	199	854	0.6854006052017212
O75529	314	335	0.5091622471809387
P40126	10	129	0.5905309915542603
Q13608	648	671	0.5244917869567871
A0A7P0TAN4	199	640	0.6714650988578796
O00337	614	648	0.5758987069129944
O60260	314	464	0.583418071269989
P21754	292	335	0.5783118009567261
P28799	12	182	0.6804010272026062
P28799	203	340	0.636397123336792
P28799	437	584	0.6078504920005798
Q06587	8	109	0.5096141695976257
Q495A1	214	243	0.541475236415863
Q6GPH4	0	187	0.5914657711982727
Q6ZMV8	110	383	0.6371788382530212
Q6ZMV8	397	502	0.5852177143096924
Q96H40	111	180	0.5584952235221863
Q96H40	199	462	0.6458383798599243
Q9Y473	237	457	0.6314270496368408
A0A1W2PPM1	262	323	0.567434549331665
C9JN71	102	530	0.6443476676940918
O14836	29	114	0.6605521440505981
O60296	634	688	0.6592587232589722
P0DPK3	19	269	0.7145305275917053
Q13398	198	563	0.6487458348274231
Q13474	635	667	0.5420665144920349
Q14393	47	285	0.6699813008308411
Q8N4W9	228	902	0.6923742890357971
Q96LW9	239	404	0.5519037842750549
O95376	233	348	0.6668714880943298
O95388	39	264	0.6539996266365051
P02765	128	155	0.5971333384513855
P13497	690	787	0.6697434186935425
Q6H8Q1	120	163	0.5899034738540649
Q6PDB4	184	575	0.6674458384513855
Q8NDW4	351	575	0.6320338249206543
Q8NFJ8	346	380	0.5119776725769043
Q9UP79	116	133	0.6710156798362732
Q9UP79	421	604	0.6810802817344666
Q9Y2Q1	103	561	0.6110235452651978
A0A8I5KTY6	33	268	0.5977193117141724
O14763	82	181	0.6309607028961182
