accession	start	end
A0A0J9YXV3	520	535
A6NGW2	440	462
A6NGW2	483	535
O75093	33	54
O75093	246	304
O75093	503	535
O75093	713	747
O75093	886	1170
O75093	1328	1533
O75678	51	74
O75678	99	150
P04275	195	222
P04275	237	394
P04275	423	446
P04275	518	534
P04275	548	869
P04275	1029	1108
P04275	1873	1959
P04275	1984	2010
P04275	2117	2134
P04275	2157	2509
P49821	374	391
Q05329	62	85
Q14585	0	29
Q14585	81	160
Q5T0L3	68	89
Q5T0L3	118	158
Q5VWG9	860	921
Q6UWY2	191	226
Q6ZMT1	113	170
Q7RTU4	120	140
Q7Z7K2	64	95
Q7Z7K2	151	202
Q7Z7K2	346	446
Q8IWV7	100	128
Q8IWV7	138	186
Q8IWV7	1607	1622
Q8IXZ3	321	402
Q8IZ63	0	17
Q8IZJ1	252	362
Q8N1N2	12	78
Q8N1N2	120	152
Q8NAF0	38	86
Q8NAF0	233	251
Q8NAF0	264	312
Q8NAF0	375	426
Q8WWI1	1603	1620
Q8WWI1	1638	1680
Q9BRZ2	28	68
Q9BRZ2	88	146
Q9BRZ2	158	211
Q9BT23	29	48
Q9C0I4	41	62
Q9C0I4	76	94
Q9C0I4	116	204
Q9C0I4	295	361
Q9C0I4	411	483
Q9C0I4	1027	1055
Q9C0I4	1070	1244
Q9NRY6	114	174
Q9NRY6	204	225
Q9UL59	237	286
Q9Y5H7	722	740
A0A286YF77	0	104
D6RCP7	34	61
D6RCP7	101	135
O43820	352	376
O43820	400	415
O43915	103	156
O43915	178	353
P06858	289	305
P51970	28	62
Q09MP3	89	123
Q09MP3	315	358
Q09MP3	405	423
Q12802	51	71
Q12802	331	369
Q12802	390	421
Q12802	649	691
Q12802	1796	1847
Q53GD3	105	128
Q5EBM0	65	94
Q5TC79	420	464
Q5TCM9	0	117
Q6ZUB1	257	282
Q6ZUB1	1347	1387
Q8N823	222	384
Q8TF21	12	38
Q92918	599	615
Q92954	23	113
Q96C00	375	397
Q96C00	429	455
Q96QE4	510	535
Q96QE4	735	756
Q9BYR6	0	97
Q9H0E9	959	980
Q9NZV7	304	410
Q9NZV7	454	526
Q9UK11	139	191
Q9UK11	209	316
Q9Y297	32	114
A0A1B0GVY7	607	625
A6NC57	426	444
O00321	167	241
