accession	start	end	domain
O94991	374	614	Ribonuclease Inhibitor
O94991	48	292	Ribonuclease Inhibitor
P68371	264	373	Tubulin/FtsZ, C-terminal domain
P68371	374	445	Helix hairpin bin
P68371	1	263	Tubulin/FtsZ, GTPase domain
O94875	859	925	SH3 Domains
O94875	1043	1100	SH3 Domains
O94875	936	1000	SH3 Domains
Q96JP9	357	470	Cadherins
Q96JP9	575	681	Cadherins
Q96JP9	39	128	Cadherins
Q96JP9	129	241	Cadherins
Q96JP9	242	356	Cadherins
Q96JP9	471	574	Cadherins
P61758	44	185	-
Q9NYW6	4	305	Rhodopsin 7-helix transmembrane proteins
Q12996	14	544	-
P35555	1319	1361	Laminin
P35555	1362	1403	Laminin
P35555	1531	1605	TGF-beta binding (TB) domain
P35555	463	487	Laminin
P35555	329	398	TGF-beta binding (TB) domain
P35555	654	723	TGF-beta binding (TB) domain
P35555	950	1020	TGF-beta binding (TB) domain
P35555	1689	1759	TGF-beta binding (TB) domain
P35555	2055	2125	TGF-beta binding (TB) domain
P35555	2332	2402	TGF-beta binding (TB) domain
P35555	43	111	Laminin
P35555	532	572	Laminin
P35555	573	612	Laminin
P35555	613	653	Laminin
P35555	724	764	Laminin
P35555	765	806	Laminin
P35555	1112	1154	Laminin
P35555	1155	1197	Laminin
P35555	1279	1318	Laminin
P35555	1404	1446	Laminin
P35555	1447	1486	Laminin
P35555	1487	1530	Laminin
P35555	1648	1688	Laminin
P35555	1852	1888	Laminin
P35555	1973	2012	Laminin
P35555	2013	2054	Laminin
P35555	2126	2166	Laminin
P35555	2167	2206	Laminin
P35555	2248	2291	Laminin
P35555	2608	2648	Laminin
P35555	1201	1242	Laminin
P35555	807	849	Laminin
P35555	1933	1972	Laminin
P35555	2403	2445	Laminin
P35555	2523	2567	Laminin
P35555	246	286	Laminin
P35555	1606	1647	Laminin
P35555	1766	1803	Laminin
P35555	288	328	Laminin
P35555	910	949	Laminin
P35555	1028	1068	Laminin
P35555	1070	1111	Laminin
P35555	1243	1278	Laminin
P35555	2292	2331	Laminin
P35555	2489	2522	Laminin
P35555	2207	2247	Laminin
P35555	2568	2607	Laminin
P35555	2649	2688	Laminin
P35555	2446	2488	Laminin
P35555	488	531	Laminin
P35555	1804	1851	Laminin
P35555	1889	1932	Laminin
P35555	183	245	TGF-beta binding (TB) domain
P35555	850	909	TGF-beta binding (TB) domain
P35555	112	178	Laminin
A6NNX1	45	76	cAMP-dependent protein kinase regulatory subunit, dimerization-anchoring domain
P49641	121	500	Glycoside hydrolase 38, N terminal domain
P49641	740	1020	Golgi alpha-mannosidase II; domain 4
P49641	622	733	Golgi alpha-mannosidase II
P49641	501	617	Glycoside hydrolase family 38, central domain
Q9UHA3	1	67	Ribosomal protein L24e
Q9GZZ6	387	450	Neurotransmitter-gated ion-channel transmembrane domain
Q9GZZ6	28	241	Neurotransmitter-gated ion-channel ligand-binding domain
Q9GZZ6	242	346	Neurotransmitter-gated ion-channel transmembrane domain
Q9NX46	14	363	ADP-ribosylation/Crystallin J1
Q9Y366	355	422	-
Q03164	3812	3969	SET domain
Q03164	2020	2136	-
Q03164	3642	3741	-
Q03164	1866	1980	Zinc/RING finger domain, C3HC4 (zinc finger)
Q03164	1630	1774	Bromodomain-like
Q03164	1563	1628	Zinc/RING finger domain, C3HC4 (zinc finger)
Q03164	1429	1540	Zinc/RING finger domain, C3HC4 (zinc finger)
Q03164	5	135	-
Q14994	2	107	Erythroid Transcription Factor GATA-1, subunit A
Q14994	108	352	Retinoid X Receptor
O14957	1	56	-
O95678	183	300	Vasodilator-stimulated phosphoprotein
O95678	383	462	-
O95678	315	382	Single helix bin
Q13617	657	745	Winged helix-like DNA-binding domain superfamily/Winged helix DNA-binding domain
Q13617	1	160	Cullin Repeats
Q13617	275	385	Cullin Repeats
Q13617	161	274	Cullin Repeats
Q13617	386	500	Cullin Repeats
Q13617	502	656	Cullin; Chain C, Domain 2
O75190	2	113	DnaJ domain
Q8WUY9	249	407	Rho GTPase activation protein
Q8WUY9	6	107	Winged helix-like DNA-binding domain superfamily/Winged helix DNA-binding domain
P01033	24	199	Tissue inhibitor of metalloproteinase-1. Chain B, domain 1
P01033	39	130	-
Q9GZY0	375	560	-
Q9GZY0	208	365	Ribonuclease Inhibitor
Q9GZY0	101	206	-
Q9GZY0	566	623	DNA helicase RuvA subunit, C-terminal domain
Q16555	15	485	Urease, subunit C, domain 1
Q16555	68	440	Metal-dependent hydrolases
A6NND4	25	313	Rhodopsin 7-helix transmembrane proteins
Q01860	143	233	lambda repressor-like DNA-binding domains
Q01860	234	280	Homeodomain-like
Q9NUQ8	118	437	P-loop containing nucleotide triphosphate hydrolases
Q9NUQ8	454	707	P-loop containing nucleotide triphosphate hydrolases
P59538	1	305	Rhodopsin 7-helix transmembrane proteins
P01861	218	323	Immunoglobulins
P01861	1	103	Immunoglobulins
P01861	106	217	Immunoglobulins
Q4W5G0	74	133	Homeodomain-like
Q4W5G0	1	54	Homeodomain-like
Q92879	105	187	-
Q92879	378	485	-
Q92879	4	104	-
P15813	201	299	Immunoglobulins
P15813	20	200	MHC class I-like antigen recognition-like
P15088	21	108	Metallocarboxypeptidase-like
P15088	109	417	Zn peptidases
O60513	61	341	Spore Coat Polysaccharide Biosynthesis Protein SpsA; Chain A
Q05C16	243	522	Ribonuclease Inhibitor
P47901	29	387	Rhodopsin 7-helix transmembrane proteins
Q9Y238	615	729	Immunoglobulins
Q9Y238	763	855	Immunoglobulins
Q9Y238	963	1072	Immunoglobulins
Q9Y238	1095	1241	Immunoglobulins
Q9Y238	1628	1744	Immunoglobulins
Q9Y238	856	962	Immunoglobulins
Q9Y238	474	588	Immunoglobulins
P56715	30	136	Doublecortin domain
P56715	148	237	Doublecortin domain
Q04864	8	179	Rel homology domain (RHD), DNA-binding domain
Q04864	183	295	Immunoglobulins
Q96NA8	249	374	-
Q96NA8	409	511	-
Q00403	2	59	-
Q00403	210	315	Cyclin-like
Q00403	98	205	Cyclin-like
P61086	158	200	DNA helicase RuvA subunit, C-terminal domain
P61086	1	157	Ubiquitin Conjugating Enzyme
B7ZW38	2	106	-
P0DMR1	2	106	-
Q99808	150	456	MFS general substrate transporter like domains
P16422	79	137	Thyroglobulin type-1
Q9ULJ7	720	785	Ankyrin repeat-containing domain
Q9ULJ7	786	850	Ankyrin repeat-containing domain
Q9ULJ7	900	1006	Ankyrin repeat-containing domain
Q9ULJ7	851	899	Ankyrin repeat-containing domain
Q9ULJ7	602	719	Ankyrin repeat-containing domain
Q9ULJ7	1007	1140	Ankyrin repeat-containing domain
Q9ULJ7	492	601	Ankyrin repeat-containing domain
O14981	1513	1829	P-loop containing nucleotide triphosphate hydrolases
O14981	276	592	Leucine-rich Repeat Variant
O14981	1006	1229	Leucine-rich Repeat Variant
O14981	1235	1502	Tandem AAA-ATPase domain
P54296	910	1015	Immunoglobulins
P54296	1228	1343	Immunoglobulins
P54296	1127	1225	Immunoglobulins
P54296	1345	1437	Immunoglobulins
P54296	811	909	Immunoglobulins
P54296	1016	1126	Immunoglobulins
P54296	278	385	Immunoglobulins
P54296	148	248	Immunoglobulins
P54296	386	496	Immunoglobulins
P54296	510	610	Immunoglobulins
P54296	611	710	Immunoglobulins
P54296	711	810	Immunoglobulins
Q5SSJ5	151	237	Winged helix-like DNA-binding domain superfamily/Winged helix DNA-binding domain
Q5SSJ5	250	334	Winged helix-like DNA-binding domain superfamily/Winged helix DNA-binding domain
Q5SSJ5	340	412	Winged helix-like DNA-binding domain superfamily/Winged helix DNA-binding domain
Q00325	66	340	Mitochondrial carrier domain
Q9HAQ2	5	339	Kinesin motor domain
P20648	382	766	HAD superfamily/HAD-like
P20648	105	1026	Calcium-transporting ATPase, transmembrane domain
P20648	395	605	Calcium-transporting ATPase, cytoplasmic domain N
P20648	52	287	Calcium-transporting ATPase, cytoplasmic transduction domain A
Q8IXY8	131	310	Cyclophilin-like
Q99501	17	154	Calponin-like domain
Q99501	200	288	Gas2-like domain
P59539	2	298	Rhodopsin 7-helix transmembrane proteins
Q9H777	3	363	Ribonuclease Z/Hydroxyacylglutathione hydrolase-like
Q9H3Z7	141	332	alpha/beta hydrolase
P08246	30	236	Trypsin-like serine proteases
P08246	42	242	Trypsin-like serine proteases
P59510	611	693	-
P59510	469	558	-
P59510	707	849	-
P59510	964	1023	Thrombospondin type-1 (TSP1) repeat
P59510	1024	1077	Thrombospondin type-1 (TSP1) repeat
P59510	1078	1134	Thrombospondin type-1 (TSP1) repeat
P59510	1152	1208	Thrombospondin type-1 (TSP1) repeat
P59510	1209	1264	Thrombospondin type-1 (TSP1) repeat
P59510	1305	1360	Thrombospondin type-1 (TSP1) repeat
P59510	1361	1416	Thrombospondin type-1 (TSP1) repeat
P59510	1419	1475	Thrombospondin type-1 (TSP1) repeat
P59510	1476	1530	Thrombospondin type-1 (TSP1) repeat
P59510	1654	1709	Thrombospondin type-1 (TSP1) repeat
P59510	559	610	Thrombospondin type-1 (TSP1) repeat
P59510	254	468	Collagenase (Catalytic Domain)
Q9H1Z9	176	284	Tetraspanin
Q8NB16	179	287	Phosphorylase Kinase; domain 1
Q8NB16	288	470	Transferase(Phosphotransferase) domain 1
Q8NB16	1	118	Adaptor protein Cbl, N-terminal domain
Q5MY95	164	434	Exopolyphosphatase. Domain 2
Q5MY95	42	447	-
P33552	1	79	Cyclin-dependent kinase, regulatory subunit
Q9H114	29	135	-
Q14112	495	751	Green fluorescent protein
Q14112	809	851	Laminin
Q14112	937	1006	Thyroglobulin type-1
Q14112	1017	1085	Thyroglobulin type-1
Q14112	752	801	Laminin
Q14112	893	930	Laminin
Q14112	852	892	Laminin
Q14112	1107	1374	TolB, C-terminal domain
Q5TC79	427	452	Classic Zinc Finger
Q5TC79	399	426	Classic Zinc Finger
Q5TC79	373	398	Classic Zinc Finger
Q5TC79	5	149	Potassium Channel Kv1.1; Chain A
O60840	644	836	-
O60840	989	1175	-
O60840	1317	1452	-
O60840	518	641	Voltage-gated potassium channels. Chain C
O60840	1521	1601	-
O60840	861	982	Voltage-gated potassium channels. Chain C
O60840	223	376	-
O60840	377	421	-
O60840	84	222	Voltage-gated potassium channels. Chain C
O60840	1180	1315	Voltage-gated potassium channels. Chain C
O94979	379	791	-
O94979	1112	1219	Functional domain of the splicing factor Prp18
O94979	1	334	YVTN repeat-like/Quinoprotein amine dehydrogenase
P17612	128	318	Transferase(Phosphotransferase) domain 1
P17612	41	330	Phosphorylase Kinase; domain 1
P62318	1	75	-
O75469	33	138	Erythroid Transcription Factor GATA-1, subunit A
O75469	142	434	Retinoid X Receptor
Q8NE00	131	494	Amino acid/polyamine transporter I
Q8N819	45	328	PPM-type phosphatase domain
Q8N819	331	401	Phosphatase 2C, C-terminal domain suprefamily
P55083	32	255	Gamma Fibrinogen, chain A, domain 1
Q9UBR1	2	384	Carbon-nitrogen hydrolase
A0AAG2SWI5	1313	1430	Alpha-macroglobulin, receptor-binding domain
A0AAG2SWI5	686	776	-
A0AAG2SWI5	939	1246	-
A0AAG2SWI5	907	1306	-
