Accession_number	Region	Domain
O75093	[33, 58]	Leucine rich repeat N-terminal domain
Q13018	[904, 923]	Lectin C-type domain
Q53HC9	[95, 121]	EIPR1 beta-propeller
Q5T0L3	[56, 142]	Spermatogenesis-associated protein 46
Q5VWG9	[868, 912]	PHD-finger
Q6UWY2	[204, 230]	Trypsin
Q6ZMT1	[111, 157]	Phorbol esters/diacylglycerol binding domain (C1 domain)
Q6ZMT1	[371, 410]	Variant SH3 domain
Q8IWV7	[99, 166]	Putative zinc finger in N-recognin (UBR box)
Q8IZ63	[75, 91]	Proline-rich protein family 22
Q8IZJ1	[253, 296]	Thrombospondin type 1 domain
Q8N4H0	[110, 126]	Spermatogenesis-assoc protein 6
Q8WWI1	[1631, 1674]	LIM domain
Q9BT23	[40, 82]	LIM domain
Q9C0I4	[44, 92]	Thrombospondin type 1 domain
Q9NRY6	[94, 174]	Scramblase
Q9NV35	[13, 29]	NUDIX domain
Q9Y662	[333, 359]	Sulfotransferase domain
D6RCP7	[80, 131]	Ubiquitin carboxyl-terminal hydrolase
O43820	[357, 373]	Hyaluronidase
O94832	[960, 996]	Unconventional myosin tail, actin- and lipid-binding
P06858	[287, 319]	Lipase
P06858	[447, 461]	PLAT/LH2 domain
P49720	[7, 20]	Proteasome subunit
P61513	[17, 64]	Ribosomal L37ae protein family
P78424	[507, 525]	Pou domain - N-terminal to homeobox domain
Q07325	[31, 56]	Small cytokines (intecrine/chemokine), interleukin-8 like
Q30KP8	[26, 58]	Beta defensin 136
Q53GD3	[399, 420]	Plasma-membrane choline transporter
Q5H9L4	[172, 200]	TAFII55 protein conserved region
Q5SWX8	[276, 291]	Odorant response abnormal 4-like
Q8WTW3	[78, 90]	Vps51/EXO84/COG1 N-terminal
Q92918	[594, 621]	CNH domain
Q9BYR6	[3, 96]	Keratin, high-sulphur matrix protein
Q9H2C1	[64, 121]	LIM domain
Q9NQ11	[299, 366]	P-type ATPase actuator domain
A6NI28	[842, 863]	Variant SH3 domain
A8MVZ5	[148, 197]	Butyrophilin subfamily 3 member A2-like, Ig-C domain
O00451	[40, 87]	GDNF/GAS1 domain
O75969	[421, 474]	A-kinase anchor protein 110 kDa (AKAP 110)
O95274	[29, 62]	u-PAR/Ly-6 domain
O95677	[425, 450]	haloacid dehalogenase-like hydrolase
P20701	[771, 784]	Integrin alpha Ig-like domain 2
P24278	[240, 258]	Zinc finger, C2H2 type
Q01955	[1598, 1667]	C-terminal tandem repeated domain in type 4 procollagen
Q13114	[53, 92]	TNF receptor-associated factor 2/3/5, RING domain
Q15878	[252, 286]	Ion transport protein
Q2TV78	[354, 390]	Kringle domain
Q2TV78	[640, 666]	Trypsin
Q2WGJ6	[503, 556]	Attractin/LZTR1 beta-propeller
Q659A1	[882, 923]	NMDA receptor-regulated gene protein 2 C-terminus
Q6PEW0	[202, 221]	Trypsin
Q6ZWI9	[11, 24]	zinc finger of C3HC4-type, RING
Q7Z4F1	[147, 174]	Low-density lipoprotein receptor domain class A
Q86UF1	[170, 204]	Tetraspanin family
Q8NBB4	[89, 122]	SCAN domain
Q8NBB4	[320, 339]	Zinc finger, C2H2 type
Q8NCW6	[543, 604]	Ricin-type beta-trefoil lectin domain
Q8TAS1	[27, 63]	Protein kinase domain
Q8WXS8	[406, 424]	Reprolysin (M12B) family zinc metalloprotease
Q9BY79	[273, 294]	Low-density lipoprotein receptor domain class A
Q9BY79	[527, 569]	Fz domain
Q9NY46	[1165, 1195]	Sodium ion transport-associated
Q9NY46	[1719, 1744]	Ion transport protein
Q9NY74	[576, 595]	Ewing's tumour-associated antigen 1 homologue
Q9P2E3	[1854, 1888]	RZ type zinc finger domain
Q9UKV8	[268, 309]	PAZ domain
A0FGR8	[592, 625]	C2 domain
A8MWY0	[457, 476]	ELAPOR1-like, galactose binding domain
A8MWY0	[827, 844]	ELAPOR1-like, mannose 6-phosphate receptor homology domain
O00222	[512, 562]	Nine Cysteines Domain of family 3 GPCR
O43638	[74, 103]	Forkhead domain
O43766	[69, 84]	N-terminal domain of lipoyl synthase of Radical_SAM family
P10912	[49, 73]	Erythropoietin receptor, ligand binding
P10912	[606, 617]	Growth hormone receptor binding
P16615	[487, 525]	P-type ATPase, cytoplasmic domain N
P43268	[265, 330]	PEA3 subfamily ETS-domain transcription factor N terminal domain
P55773	[53, 109]	Small cytokines (intecrine/chemokine), interleukin-8 like
P57764	[445, 456]	Gasdermin PUB domain
P98073	[184, 218]	Low-density lipoprotein receptor domain class A
P98073	[926, 999]	Trypsin
P98164	[2022, 2038]	Coagulation Factor Xa inhibitory site
P98164	[2343, 2378]	LRP2-like, EGF-like domain
Q15031	[471, 520]	tRNA synthetases class I (I, L, M and V)
Q5H8A4	[263, 275]	Type I phosphodiesterase / nucleotide pyrophosphatase
Q6UXB8	[113, 165]	Cysteine-rich secretory protein family
Q8IX01	[826, 836]	Surp module
Q99675	[271, 314]	Zinc finger, C3HC4 type (RING finger)
Q9UHB6	[390, 446]	LIM domain
A6NCW7	[81, 125]	Ubiquitin carboxyl-terminal hydrolase
O95445	[157, 186]	ApoM domain
P26436	[188, 264]	u-PAR/Ly-6 domain
P36269	[429, 451]	Gamma-glutamyltranspeptidase
P55055	[86, 155]	Double treble clef zinc finger, C4 type
Q13535	[508, 524]	Serine/threonine-protein kinase ATR, N-HEAT region
Q14765	[402, 424]	STAT protein, DNA binding domain
Q15366	[290, 308]	KH domain
Q3BBV2	[637, 671]	Olduvai domain
