Accession_number	Region	Domain
O43827	[118, 133]	Gamma Fibrinogen, chain A, domain 1
O75093	[31, 58]	Ribonuclease Inhibitor
O75678	[80, 160]	Zinc/RING finger domain, C3HC4 (zinc finger)
O75678	[345, 366]	-
P01135	[58, 89]	Laminin
P04275	[765, 827]	Laminin
Q13018	[208, 223]	Fibronectin, type II, collagen-binding
Q13018	[904, 923]	Mannose-Binding Protein A, subunit A
Q13018	[1208, 1233]	Mannose-Binding Protein A, subunit A
Q53HC9	[95, 121]	YVTN repeat-like/Quinoprotein amine dehydrogenase
Q5VWG9	[856, 917]	Zinc/RING finger domain, C3HC4 (zinc finger)
Q6UWY2	[204, 230]	Trypsin-like serine proteases
Q6ZMT1	[109, 167]	-
Q7Z7K2	[350, 392]	Classic Zinc Finger
Q8IWV7	[99, 168]	-
Q8IZJ1	[253, 299]	Thrombospondin type-1 (TSP1) repeat
Q8NAF0	[292, 320]	Classic Zinc Finger
Q8WWI1	[1631, 1680]	Cysteine Rich Protein
Q9BRZ2	[492, 529]	TolB, C-terminal domain
Q9BT23	[33, 82]	Cysteine Rich Protein
Q9NV35	[13, 29]	Nucleoside Triphosphate Pyrophosphohydrolase
Q9Y662	[333, 359]	P-loop containing nucleotide triphosphate hydrolases
D6RCP7	[79, 131]	Cysteine proteinases
O43820	[357, 373]	Aldolase class I
O75179	[226, 248]	Ankyrin repeat-containing domain
P06858	[287, 319]	alpha/beta hydrolase
P49720	[1, 20]	Glutamine Phosphoribosylpyrophosphate, subunit 1, domain 1
P61513	[17, 64]	-
P78424	[507, 530]	lambda repressor-like DNA-binding domains
Q07325	[31, 56]	-
Q12802	[1799, 1842]	-
Q5I0X7	[34, 60]	Tetratricopeptide repeat domain
Q96C00	[384, 463]	Classic Zinc Finger
Q96QE4	[517, 554]	Ribonuclease Inhibitor
Q96QE4	[734, 762]	Ribonuclease Inhibitor
Q9H2C1	[60, 126]	Cysteine Rich Protein
Q9NQ11	[286, 366]	Calcium-transporting ATPase, cytoplasmic transduction domain A
Q9NQ11	[874, 910]	HAD superfamily/HAD-like
A6NI28	[842, 863]	SH3 Domains
A8MVZ5	[148, 197]	Immunoglobulins
M0R2J8	[1149, 1172]	-
O00451	[247, 356]	GDNF binding domain
O95274	[30, 62]	CD59
O95274	[134, 226]	CD59
O95677	[425, 450]	-
P0DH78	[18, 87]	Zinc/RING finger domain, C3HC4 (zinc finger)
P20701	[772, 784]	ntegrin, alpha v. Chain A, domain 3
P20701	[1000, 1018]	ntegrin, alpha v. Chain A, domain 4
P24278	[231, 258]	Classic Zinc Finger
P24278	[336, 395]	Classic Zinc Finger
Q01955	[1598, 1669]	Collagen IV, non-collagenous
Q13114	[34, 110]	Zinc/RING finger domain, C3HC4 (zinc finger)
Q14957	[418, 448]	Periplasmic binding protein-like II
Q15878	[252, 286]	-
Q15878	[1669, 1693]	-
Q2TV78	[289, 318]	Plasminogen Kringle 4
Q2TV78	[350, 392]	Plasminogen Kringle 4
Q2TV78	[461, 472]	Plasminogen Kringle 4
Q2TV78	[640, 666]	Trypsin-like serine proteases
Q2WGJ6	[503, 573]	Kelch-type beta propeller
Q5THR3	[971, 999]	EF-hand
Q6PEW0	[202, 221]	Trypsin-like serine proteases
Q6ZWI9	[1, 24]	Zinc/RING finger domain, C3HC4 (zinc finger)
Q7Z4F1	[147, 178]	Low-density Lipoprotein Receptor
Q86UF1	[170, 204]	Tetraspanin
Q8NBB4	[89, 121]	DNA breaking-rejoining enzymes
Q8NBB4	[314, 339]	Classic Zinc Finger
Q8NCW6	[543, 607]	-
Q8TAS1	[27, 63]	Phosphorylase Kinase; domain 1
Q8TDJ6	[2776, 2791]	YVTN repeat-like/Quinoprotein amine dehydrogenase
Q8WXS8	[406, 424]	Collagenase (Catalytic Domain)
Q96L91	[2385, 2430]	Homeodomain-like
Q9BY79	[273, 295]	Low-density Lipoprotein Receptor
Q9BY79	[419, 455]	Low-density Lipoprotein Receptor
Q9BY79	[527, 572]	Frizzled cysteine-rich domain
Q9NSU2	[11, 45]	Ribonuclease H-like superfamily/Ribonuclease H
Q9NSU2	[63, 90]	Ribonuclease H-like superfamily/Ribonuclease H
Q9NY46	[1719, 1744]	-
Q9UKV8	[268, 309]	paz domain
Q9Y6Q9	[169, 250]	PAS domain
A0FGR8	[592, 625]	C2 domain
A5YM72	[524, 547]	ATP-grasp fold, B domain
A8MWY0	[607, 672]	Tumor Necrosis Factor Receptor, subunit A, domain 2
A8MWY0	[827, 844]	Mannose-6-phosphate receptor binding domain
O00222	[510, 573]	GPCR, family 3, nine cysteines domain
O43638	[74, 111]	Winged helix-like DNA-binding domain superfamily/Winged helix DNA-binding domain
O60309	[827, 864]	Ribonuclease Inhibitor
O60309	[1042, 1073]	Ribonuclease Inhibitor
O75078	[673, 712]	Laminin
P10912	[50, 73]	Immunoglobulins
P16615	[324, 356]	Calcium-transporting ATPase, transmembrane domain
P16615	[487, 525]	HAD superfamily/HAD-like
P55285	[577, 600]	Cadherins
P55773	[44, 119]	-
P98073	[182, 218]	Low-density Lipoprotein Receptor
P98073	[926, 999]	Trypsin-like serine proteases
P98164	[2010, 2038]	TolB, C-terminal domain
P98164	[2329, 2371]	TolB, C-terminal domain
Q03426	[318, 377]	-
Q15031	[471, 520]	HUPs
Q5H8A4	[263, 283]	Alkaline Phosphatase, subunit A
Q6UXB8	[113, 200]	CAP
Q8IX01	[826, 840]	Surp module
Q8N4C7	[276, 292]	-
Q99675	[265, 318]	Zinc/RING finger domain, C3HC4 (zinc finger)
Q9UHB6	[385, 454]	Cysteine Rich Protein
Q9UJJ9	[125, 155]	Mannose-6-phosphate receptor binding domain
Q9UKV0	[636, 664]	Histone deacetylase domain
A6NCL7	[257, 288]	Ankyrin repeat-containing domain
A6NCW7	[81, 125]	Cysteine proteinases
O95445	[157, 187]	-
P36269	[429, 451]	-
P55055	[80, 165]	Erythroid Transcription Factor GATA-1, subunit A
Q07954	[462, 519]	TolB, C-terminal domain
Q07954	[1530, 1555]	TolB, C-terminal domain
Q07954	[1839, 1888]	TolB, C-terminal domain
Q07954	[2153, 2183]	TolB, C-terminal domain
Q13535	[940, 960]	Leucine-rich Repeat Variant
Q14765	[402, 424]	STAT transcription factor, DNA-binding domain
Q15366	[284, 308]	K Homology domain, type 1
Q5VV67	[1603, 1631]	-
Q8IZ73	[414, 424]	Pseudouridine synthase
Q8NG08	[451, 484]	P-loop containing nucleotide triphosphate hydrolases
Q8TBE9	[224, 241]	HAD superfamily/HAD-like
Q9H5I1	[221, 247]	SET domain
Q9HA64	[1, 16]	Phosphorylase Kinase; domain 1
Q9HCU4	[1570, 1608]	Laminin
Q9HCU4	[1742, 1774]	-
Q9P2D3	[1011, 1040]	Leucine-rich Repeat Variant
Q9P2D3	[1099, 1115]	Leucine-rich Repeat Variant
Q9P2D3	[1130, 1140]	Leucine-rich Repeat Variant
Q9UMW8	[218, 243]	Cysteine proteinases
Q9Y252	[618, 644]	Zinc/RING finger domain, C3HC4 (zinc finger)
Q9Y252	[658, 677]	Zinc/RING finger domain, C3HC4 (zinc finger)
O14792	[258, 276]	P-loop containing nucleotide triphosphate hydrolases
O43291	[66, 97]	Pancreatic trypsin inhibitor Kunitz domain
O43291	[130, 185]	Pancreatic trypsin inhibitor Kunitz domain
O60242	[831, 851]	-
O60242	[1059, 1096]	Rhodopsin 7-helix transmembrane proteins
O95487	[554, 579]	Zn-finger domain of Sec23/24
P01036	[84, 139]	-
P20155	[29, 83]	-
P20774	[86, 117]	Ribonuclease Inhibitor
Q07890	[267, 296]	Dbl homology (DH) domain
Q12918	[89, 103]	Mannose-Binding Protein A, subunit A
Q12918	[173, 224]	Mannose-Binding Protein A, subunit A
Q13115	[36, 64]	Rhodanese-like domain
Q5W0U4	[21, 60]	Classic Zinc Finger
Q6S9Z5	[96, 121]	Classic Zinc Finger
Q6S9Z5	[164, 188]	Classic Zinc Finger
Q6S9Z5	[221, 248]	Classic Zinc Finger
Q6S9Z5	[283, 309]	Classic Zinc Finger
Q86X10	[1216, 1235]	Rap/Ran-GAP
Q8IXI1	[534, 575]	P-loop containing nucleotide triphosphate hydrolases
Q8NER5	[25, 41]	CD59
Q8NER5	[63, 97]	CD59
Q8NHL6	[146, 183]	Immunoglobulins
Q8NHL6	[379, 410]	Immunoglobulins
Q8TDY4	[341, 371]	Pleckstrin-homology domain (PH domain)/Phosphotyrosine-binding domain (PTB)
Q8TDY4	[426, 452]	Arf GTPase activating protein
Q96SZ5	[172, 237]	Jelly Rolls
Q9H6E5	[538, 584]	-
Q9H9J4	[109, 154]	Cysteine proteinases
Q9H9J4	[278, 306]	Cysteine proteinases
Q9NRE2	[208, 245]	Classic Zinc Finger
Q9NRE2	[259, 302]	Classic Zinc Finger
Q9NRE2	[999, 1020]	Classic Zinc Finger
Q9UBS8	[258, 277]	Zinc/RING finger domain, C3HC4 (zinc finger)
Q9UBS8	[307, 352]	-
Q9UBS8	[391, 456]	-
Q9ULK0	[124, 141]	-
A6NI73	[51, 85]	Immunoglobulins
C9JVI0	[79, 131]	Cysteine proteinases
D6RBQ6	[79, 131]	Cysteine proteinases
O15528	[103, 125]	Cytochrome P450
P07327	[92, 130]	Medium-chain alcohol dehydrogenases, catalytic domain
P25398	[96, 124]	-
P25940	[208, 228]	-
P25940	[1516, 1551]	-
P25940	[1680, 1703]	-
P56715	[91, 116]	Doublecortin domain
Q5VW22	[437, 492]	Arf GTPase activating protein
Q96CS7	[33, 72]	Pleckstrin-homology domain (PH domain)/Phosphotyrosine-binding domain (PTB)
Q96QU8	[288, 308]	Leucine-rich Repeat Variant
Q9BWU0	[311, 347]	-
Q9NQR9	[90, 116]	Phosphatidic acid phosphatase type 2/haloperoxidase
Q9NRR2	[181, 265]	Trypsin-like serine proteases
Q9UIB8	[176, 211]	Immunoglobulins
Q9UKG1	[303, 385]	Pleckstrin-homology domain (PH domain)/Phosphotyrosine-binding domain (PTB)
Q9UL18	[272, 341]	paz domain
Q9UMS6	[35, 63]	-
Q9Y5U5	[78, 149]	Tumor Necrosis Factor Receptor, subunit A, domain 2
A0A5A2	[97, 113]	Immunoglobulins
O00548	[31, 70]	-
O00755	[289, 348]	-
O43526	[520, 535]	-
O43866	[57, 131]	SRCR-like domain
O43866	[169, 241]	SRCR-like domain
O43866	[264, 346]	SRCR-like domain
O94875	[1056, 1087]	SH3 Domains
P01871	[1, 28]	Immunoglobulins
P01871	[65, 101]	Immunoglobulins
P01871	[273, 320]	Immunoglobulins
P13726	[219, 242]	Immunoglobulins
P49407	[125, 149]	-
Q15139	[180, 199]	-
Q15139	[287, 327]	-
Q15910	[520, 614]	SET domain
Q86XK2	[850, 879]	Single-stranded right-handed beta-helix, Pectin lyase-like
Q8IU81	[515, 573]	Interferon regulatory factor 2-binding protein
Q8NDC4	[123, 143]	Histone H3 K4-specific methyltransferase SET7/9 N-terminal domain
Q96EX2	[362, 388]	Zinc/RING finger domain, C3HC4 (zinc finger)
Q96GW7	[649, 685]	Laminin
Q96GW7	[847, 869]	Complement Module, domain 1
Q9BUA6	[42, 96]	EF-hand
Q9P2D0	[750, 773]	Potassium Channel Kv1.1; Chain A
Q9UBX7	[166, 266]	Trypsin-like serine proteases
A0A3B3IT33	[79, 137]	Classic Zinc Finger
A6NFC5	[56, 77]	-
A8MUK1	[79, 131]	Cysteine proteinases
P22304	[154, 185]	Alkaline Phosphatase, subunit A
P40855	[209, 241]	Pex19, mPTS binding domain
Q01973	[58, 84]	Immunoglobulins
Q01973	[210, 253]	Frizzled cysteine-rich domain
Q01973	[302, 394]	Plasminogen Kringle 4
Q05707	[1401, 1446]	-
Q14315	[189, 220]	Calponin-like domain
Q14315	[611, 628]	Immunoglobulins
Q14315	[1059, 1121]	Immunoglobulins
Q14315	[1446, 1463]	Immunoglobulins
Q15116	[122, 139]	Immunoglobulins
Q15661	[209, 229]	Trypsin-like serine proteases
Q15813	[129, 158]	Ribonuclease Inhibitor
Q16671	[68, 123]	CD59
Q38SD2	[58, 83]	Ankyrin repeat-containing domain
Q4G163	[625, 681]	-
Q4KMG0	[495, 514]	Immunoglobulins
Q4KMG0	[914, 924]	Immunoglobulins
Q7RTY5	[200, 227]	Trypsin-like serine proteases
Q86YW7	[31, 129]	Cystine-knot cytokines
Q8IVU3	[973, 999]	Hect, E3 ligase catalytic domain
Q96SM3	[150, 172]	Galactose-binding domain-like
Q96T88	[285, 367]	-
Q96T88	[400, 420]	SRA-YDG
Q96T88	[480, 546]	SRA-YDG
Q96T88	[728, 776]	Zinc/RING finger domain, C3HC4 (zinc finger)
Q9BTC0	[263, 325]	Zinc/RING finger domain, C3HC4 (zinc finger)
Q9P244	[35, 44]	Ribonuclease Inhibitor
Q9P244	[366, 388]	Immunoglobulins
O75326	[493, 537]	ligand-binding face of the semaphorins, domain 2
O75326	[552, 626]	Immunoglobulins
P04216	[104, 123]	Immunoglobulins
P07204	[22, 38]	Mannose-Binding Protein A, subunit A
P15289	[156, 181]	Alkaline Phosphatase, subunit A
P15289	[402, 442]	-
P51888	[70, 96]	Ribonuclease Inhibitor
Q13822	[776, 806]	Extracellular Endonuclease, subunit A
Q16515	[318, 364]	Acid-sensing ion channel domain
Q7Z407	[478, 504]	Complement Module, domain 1
Q7Z407	[1750, 1763]	Complement Module, domain 1
Q7Z407	[2905, 2928]	Complement Module, domain 1
Q7Z407	[3051, 3110]	Complement Module, domain 1
Q7Z407	[3347, 3371]	Complement Module, domain 1
Q7Z4I7	[4, 35]	Cysteine Rich Protein
Q7Z4I7	[134, 193]	Cysteine Rich Protein
Q86WS3	[99, 125]	Zona pellucida, ZP-N domain
Q8NFP7	[4, 20]	Nucleoside Triphosphate Pyrophosphohydrolase
Q8TBP0	[33, 67]	-
Q9BR61	[254, 270]	Ankyrin repeat-containing domain
Q9HBH9	[211, 234]	Transferase(Phosphotransferase) domain 1
Q9HBH9	[299, 316]	Transferase(Phosphotransferase) domain 1
Q9UPT8	[390, 446]	Zinc finger, CCCH-type
O00748	[79, 95]	alpha/beta hydrolase
P00519	[1024, 1055]	Nucleotidyltransferases domain 2
P01733	[93, 109]	Immunoglobulins
