accession	start	end	domain
O94991	129	189	Leucine rich repeat
O94991	457	517	Leucine rich repeat
P68371	3	211	Tubulin/FtsZ family, GTPase domain
P68371	261	382	Tubulin C-terminal domain
O94875	70	114	Sorbin homologous domain
O94875	869	913	SH3 domain
O94875	944	991	SH3 domain
O94875	1048	1098	Variant SH3 domain
Q96JP9	42	113	Cadherin domain
Q96JP9	140	237	Cadherin domain
Q96JP9	253	343	Cadherin domain
Q96JP9	477	566	Cadherin domain
Q96JP9	589	677	Cadherin domain
Q70Z53	104	219	Folate-sensitive fragile site protein Fra10Ac1
A6H8Z2	241	393	Protein FAM221A/B
P61758	60	182	Prefoldin subunit
Q9NYW6	1	301	Taste receptor protein (TAS2R)
Q12996	17	541	Suppressor of forked protein (Suf)
H0YL14	1	139	Transmembrane protein 250
P35555	194	228	TB domain
P35555	343	389	TB domain
P35555	668	711	TB domain
P35555	860	891	TB domain
P35555	966	1008	TB domain
P35555	1548	1589	TB domain
P35555	1705	1748	TB domain
P35555	2068	2111	TB domain
P35555	2347	2390	TB domain
P35555	593	616	Complement Clr-like EGF-like
P35555	787	810	Complement Clr-like EGF-like
P35555	1426	1449	Complement Clr-like EGF-like
P35555	1953	1976	Complement Clr-like EGF-like
P35555	2547	2570	Complement Clr-like EGF-like
P35555	48	82	Fibrillin 1 unique N-terminal domain
P35555	246	286	Calcium-binding EGF domain
P35555	288	328	Calcium-binding EGF domain
P35555	451	486	Calcium-binding EGF domain
P35555	490	528	Calcium-binding EGF domain
P35555	530	570	Calcium-binding EGF domain
P35555	723	763	Calcium-binding EGF domain
P35555	910	944	Calcium-binding EGF domain
P35555	1028	1068	Calcium-binding EGF domain
P35555	1070	1103	Calcium-binding EGF domain
P35555	1113	1153	Calcium-binding EGF domain
P35555	1155	1192	Calcium-binding EGF domain
P35555	1238	1278	Calcium-binding EGF domain
P35555	1280	1320	Calcium-binding EGF domain
P35555	1322	1361	Calcium-binding EGF domain
P35555	1487	1525	Calcium-binding EGF domain
P35555	1606	1646	Calcium-binding EGF domain
P35555	1648	1687	Calcium-binding EGF domain
P35555	1766	1802	Calcium-binding EGF domain
P35555	1808	1845	Calcium-binding EGF domain
P35555	1849	1889	Calcium-binding EGF domain
P35555	1891	1921	Calcium-binding EGF domain
P35555	2013	2053	Calcium-binding EGF domain
P35555	2127	2162	Calcium-binding EGF domain
P35555	2166	2200	Calcium-binding EGF domain
P35555	2206	2245	Calcium-binding EGF domain
P35555	2247	2289	Calcium-binding EGF domain
P35555	2291	2331	Calcium-binding EGF domain
P35555	2402	2442	Calcium-binding EGF domain
P35555	2444	2483	Calcium-binding EGF domain
P35555	2485	2522	Calcium-binding EGF domain
P35555	2607	2641	Calcium-binding EGF domain
P35555	2648	2679	Calcium-binding EGF domain
P35555	1984	2004	Human growth factor-like EGF
P35555	1367	1402	EGF domain
P35555	1201	1236	Coagulation Factor Xa inhibitory site
P35555	89	110	Fibrillin, first EGF domain
A6NNX1	51	73	Regulatory subunit of type II PKA R-subunit
Q64ET8	60	241	Facioscapulohumeral muscular dystrophy candidate 2
P49641	502	605	Alpha mannosidase middle domain
P49641	166	498	Glycosyl hydrolases family 38 N-terminal domain
P49641	765	970	Glycosyl hydrolases family 38 C-terminal domain
Q9UHA3	1	65	Ribosomal protein L24e
Q9GZZ6	32	235	Neurotransmitter-gated ion-channel ligand binding domain
Q9GZZ6	243	444	Neurotransmitter-gated ion-channel transmembrane region
Q9NX46	25	337	ADP-ribosylglycohydrolase
O60830	13	122	Tim17/Tim22/Tim23/Pmp24 family
Q9Y366	269	349	IFT52 central domain
Q9Y366	8	253	IFT52 GIFT domain
Q9Y366	360	411	Intraflagellar transport protein 52, C-terminal domain
Q03164	3840	3945	SET domain
Q03164	2019	2074	F/Y-rich N-terminus
Q03164	3669	3748	F/Y rich C-terminus
Q03164	1900	1978	PHD-like zinc-binding domain
Q03164	1482	1530	PHD-finger
Q03164	1569	1624	PHD-finger
Q03164	1148	1194	CXXC zinc finger domain
Q14994	159	329	Ligand-binding domain of nuclear hormone receptor
Q14994	10	78	Double treble clef zinc finger, C4 type
O14957	1	55	Ubiquinol-cytochrome C reductase complex, 6.4kD protein
O95678	16	145	Keratin type II head
O95678	148	461	Intermediate filament protein
Q13617	675	735	Cullin protein neddylation domain
Q13617	511	644	Cullin alpha+beta domain
Q13617	14	487	Cullin alpha solenoid domain
O75190	3	66	DnaJ domain
Q8WUY9	448	490	Target of ERK kinase mpk-1 C-terminal domain
Q8WUY9	270	342	RhoGAP domain
Q8WUY9	28	106	Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)
P01033	22	199	Tissue inhibitor of metalloproteinase
Q5JQC4	1	278	Cancer/testis gene family 47
Q9GZY0	222	358	NXF1/2/3/5 leucine-rich repeat domain
Q9GZY0	574	622	TAP C-terminal domain
Q9GZY0	391	542	Nuclear RNA export factor, NTF2 domain
Q9GZY0	124	203	Tap, RNA-binding
Q8WW18	120	162	C17orf50 C-terminal zinc-binding domain
Q16555	64	453	Amidohydrolase family
A6NND4	36	312	Olfactory receptor
Q01860	231	287	Homeodomain
Q01860	143	212	Pou domain - N-terminal to homeobox domain
Q5HYN5	121	183	INTS6/SAGE1/DDX26B/CT45 C-terminus
Q9NUQ8	395	474	ABC transporter
Q9NUQ8	195	356	ABC transporter
Q9NUQ8	510	639	ABC transporter
Q9NUQ8	1	73	ABCF3, PWI-like helical bundle domain
P59538	1	297	Taste receptor protein (TAS2R)
Q3SYA9	37	245	POM121 family
P01861	8	88	Immunoglobulin C1-set domain
P01861	120	208	Immunoglobulin C1-set domain
P01861	228	312	Immunoglobulin C1-set domain
Q4W5G0	76	137	Tc5 transposase DNA-binding domain
Q4W5G0	4	52	CENP-B N-terminal DNA-binding domain
Q4W5G0	207	385	DDE superfamily endonuclease
Q0D2K3	56	140	Transcription Regulator
Q86XJ0	1	251	Calcium homeostasis modulator
Q9BVC3	43	357	Sister chromatid cohesion protein Dcc1
Q92879	19	84	RNA recognition motif
Q92879	110	174	RNA recognition motif
Q92879	403	473	RNA recognition motif
Q7L5Y9	160	301	CTLH/CRA C-terminal to LisH motif domain
P15813	1	198	MHC-I family domain
P15813	220	286	Immunoglobulin C1-set domain
Q9NPJ6	64	199	Vitamin-D-receptor interacting Mediator subunit 4
P15088	27	103	Carboxypeptidase activation peptide
P15088	125	403	Zinc carboxypeptidase
O60513	213	290	N-terminal domain of galactosyltransferase
O60513	77	209	N-terminal region of glycosyl transferase group 7
Q5JXC2	9	342	Migration and invasion-inhibitory
Q05C16	345	445	Leucine-rich repeat region
Q9Y284	6	103	PAT complex subunit Asterix
P47901	51	338	7 transmembrane receptor (rhodopsin family)
Q9Y238	140	216	DLEC1 helical domain
Q9Y238	373	458	Deleted in lung and esophageal cancer protein 1 Ig domain
Q9Y238	966	1069	DLEC1 sixth Ig-like domain
P56715	54	110	Doublecortin
P56715	171	227	Doublecortin
P61578	19	105	Rec (regulator of expression encoded by corf) of HERV-K-113
Q9H7E9	109	228	Domain of unknown function (DUF4615)
Q04864	187	282	Rel homology dimerisation domain
Q04864	10	178	Rel homology DNA-binding domain
Q96NA8	260	390	Syntaxin-like protein
Q96NA8	452	504	SNARE domain
Q96NA8	124	200	Myb/SANT-like DNA-binding domain
Q00403	14	55	TFIIB zinc-binding
Q00403	112	200	Transcription factor TFIIB repeat
Q00403	206	293	Transcription factor TFIIB repeat
P61086	8	148	Ubiquitin-conjugating enzyme
P61086	161	197	UBA/TS-N domain
B7ZW38	18	79	RNA recognition motif
P0DMR1	18	79	RNA recognition motif
Q99808	144	454	Nucleoside transporter
P16422	27	65	Epithelial cell adhesion molecule, N-terminal domain
P16422	141	253	EPCAM/Trop-2, C-terminal
P16422	87	131	Thyroglobulin type-1 repeat
Q9ULJ7	255	339	TANC1-like, AAA+ ATPase lid domain
Q9ULJ7	340	464	TANC1-like, winged helix-turn-helix domain
Q9ULJ7	677	707	Ankyrin repeat
Q9ULJ7	814	844	Ankyrin repeat
Q9ULJ7	74	199	Nephrocystin 3, N-terminal
Q9ULJ7	495	575	Ankyrin repeats (3 copies)
Q9ULJ7	582	674	Ankyrin repeats (3 copies)
Q9ULJ7	723	809	Ankyrin repeats (3 copies)
Q9ULJ7	862	943	Ankyrin repeats (3 copies)
Q9ULJ7	951	1040	Ankyrin repeats (3 copies)
Q9ULJ7	1041	1102	Ankyrin repeats (3 copies)
O14981	586	1051	Domain of unknown function (DUF3535)
O14981	1643	1744	Helicase conserved C-terminal domain
O14981	1269	1583	SNF2-related domain
P54296	154	246	Immunoglobulin I-set domain
P54296	283	372	Immunoglobulin I-set domain
P54296	1351	1435	Immunoglobulin I-set domain
P54296	915	1013	Myomesin-1-li,e, iImmunoglobulin-like domain
P54296	385	472	Fibronectin type III domain
P54296	513	601	Fibronectin type III domain
P54296	613	700	Fibronectin type III domain
P54296	713	802	Fibronectin type III domain
P54296	817	903	Fibronectin type III domain
Q5SSJ5	159	229	linker histone H1 and H5 family
Q5SSJ5	266	328	linker histone H1 and H5 family
Q5SSJ5	343	411	linker histone H1 and H5 family
Q00325	66	150	Mitochondrial carrier protein
Q00325	165	246	Mitochondrial carrier protein
Q00325	262	340	Mitochondrial carrier protein
Q9HAQ2	35	339	Kinesin motor domain
Q9HAQ2	577	714	Kinesin-like protein KIF9 domain
P20648	55	122	Cation transporter/ATPase, N-terminus
P20648	2	43	Gastric H+/K+-ATPase, N terminal domain
P20648	723	769	haloacid dehalogenase-like hydrolase
P20648	810	1019	Cation transporting ATPase, C-terminus
P20648	175	285	P-type ATPase actuator domain
