Accession_number	Region	Domain
O75093	[19, 58]	Leucine rich repeat N-terminal domain
Q13018	[904, 923]	Lectin C-type domain
Q53HC9	[95, 121]	EIPR1 beta-propeller
Q5T0L3	[56, 142]	Spermatogenesis-associated protein 46
Q5VWG9	[856, 917]	PHD-finger
Q6UWY2	[204, 230]	Trypsin
Q6ZMT1	[104, 171]	Phorbol esters/diacylglycerol binding domain (C1 domain)
Q8IWV7	[98, 182]	Putative zinc finger in N-recognin (UBR box)
Q8IZ63	[75, 91]	Proline-rich protein family 22
Q8IZJ1	[253, 339]	Thrombospondin type 1 domain
Q8N4H0	[110, 126]	Spermatogenesis-assoc protein 6
Q8WWI1	[1631, 1682]	LIM domain
Q9BT23	[32, 82]	LIM domain
Q9C0I4	[38, 92]	Thrombospondin type 1 domain
Q9NRY6	[94, 174]	Scramblase
Q9NV35	[13, 29]	NUDIX domain
Q9Y662	[333, 359]	Sulfotransferase domain
D6RCP7	[79, 131]	Ubiquitin carboxyl-terminal hydrolase
O43820	[357, 373]	Hyaluronidase
O94832	[960, 998]	Unconventional myosin tail, actin- and lipid-binding
P06858	[287, 319]	Lipase
P49720	[1, 20]	Proteasome subunit
P61513	[17, 64]	Ribosomal L37ae protein family
P78424	[507, 530]	Pou domain - N-terminal to homeobox domain
Q07325	[31, 56]	Small cytokines (intecrine/chemokine), interleukin-8 like
Q30KP8	[26, 58]	Beta defensin 136
Q53GD3	[399, 420]	Plasma-membrane choline transporter
Q5H9L4	[172, 200]	TAFII55 protein conserved region
Q5SWX8	[276, 291]	Odorant response abnormal 4-like
Q8WTW3	[78, 93]	Vps51/EXO84/COG1 N-terminal
Q92918	[594, 621]	CNH domain
Q9BYR6	[0, 97]	Keratin, high-sulphur matrix protein
Q9H2C1	[24, 133]	LIM domain
Q9NQ11	[286, 366]	P-type ATPase actuator domain
A6NI28	[842, 863]	Variant SH3 domain
A8MVZ5	[141, 197]	Butyrophilin subfamily 3 member A2-like, Ig-C domain
O00451	[28, 87]	GDNF/GAS1 domain
O75969	[421, 474]	A-kinase anchor protein 110 kDa (AKAP 110)
O95274	[23, 62]	u-PAR/Ly-6 domain
O95677	[425, 450]	haloacid dehalogenase-like hydrolase
P20701	[763, 784]	Integrin alpha Ig-like domain 2
P24278	[231, 258]	Zinc finger, C2H2 type
Q01955	[1598, 1669]	C-terminal tandem repeated domain in type 4 procollagen
Q13114	[34, 110]	TNF receptor-associated factor 2/3/5, RING domain
Q15878	[252, 286]	Ion transport protein
Q2TV78	[350, 392]	Kringle domain
