Accession_number	Region	Region_length
A6NIY4	[135, 159]	25
O43182	[181, 196]	16
O43182	[236, 257]	22
O43304	[216, 232]	17
O43304	[656, 676]	21
O43827	[110, 133]	24
O75678	[77, 160]	84
O75678	[345, 366]	22
P0C875	[208, 234]	27
P58005	[6, 44]	39
Q05329	[44, 91]	48
Q14585	[0, 65]	66
Q14585	[76, 487]	412
Q15818	[27, 80]	54
Q16394	[87, 104]	18
Q53EZ4	[440, 463]	24
Q7Z7K2	[148, 321]	174
Q7Z7K2	[349, 392]	44
Q7Z7K2	[426, 563]	138
Q8IXZ3	[330, 433]	104
Q8N4H0	[138, 157]	20
Q8NAF0	[211, 244]	34
Q8NAF0	[267, 320]	54
Q8NAF0	[381, 468]	88
Q9BRZ2	[1, 232]	232
Q9BRZ2	[342, 369]	28
Q9BRZ2	[485, 529]	45
Q9UL59	[212, 603]	392
A0A1W2PQ72	[108, 125]	18
O43915	[107, 343]	237
O75069	[215, 236]	22
Q15723	[298, 336]	39
Q15723	[460, 485]	26
Q5EBM0	[30, 54]	25
Q5EBM0	[178, 221]	44
Q5I0X7	[34, 60]	27
Q5TC79	[385, 458]	74
Q8N823	[67, 124]	58
Q8N823	[228, 703]	476
Q8WTW3	[622, 642]	21
Q92918	[803, 821]	19
Q96C00	[384, 463]	80
Q96LP6	[11, 121]	111
Q96QE4	[515, 554]	40
Q96QE4	[734, 762]	29
Q9NZV7	[325, 412]	88
Q9NZV7	[442, 526]	85
Q9UK11	[87, 118]	32
Q9UK11	[143, 481]	339
Q9Y297	[1, 136]	136
A6NC57	[400, 444]	45
O00451	[145, 359]	215
O14545	[0, 142]	143
O14545	[239, 304]	66
O75969	[0, 26]	27
O75969	[106, 121]	16
O75969	[141, 186]	46
P0DH78	[15, 87]	73
P24278	[327, 414]	88
P25445	[40, 191]	152
Q13114	[137, 266]	130
Q13118	[372, 462]	91
Q15849	[77, 96]	20
Q2TV78	[42, 250]	209
Q2TV78	[289, 318]	30
Q2TV78	[461, 481]	21
Q2YD98	[185, 209]	25
Q2YD98	[298, 315]	18
Q659A1	[358, 397]	40
Q7Z4F1	[312, 430]	119
Q8TC92	[59, 143]	85
Q96NJ3	[173, 202]	30
Q96NJ3	[222, 587]	366
Q9BY79	[419, 474]	56
A5YM72	[217, 266]	50
A5YM72	[524, 547]	24
