Accession_number	Start	End	Predicted_score
O75678	51	74	0.31017534782608697
Q05329	62	85	0.43305813043478264
Q14585	0	29	0.27691358620689654
Q14585	81	160	0.36135525316455697
Q7RTU4	120	140	0.25122365
Q7Z7K2	64	95	0.25310335483870966
Q7Z7K2	151	202	0.4176074313725491
Q7Z7K2	346	446	0.39242422
Q8IXZ3	321	402	0.33079383950617286
Q8IZ63	0	17	0.25373329411764706
Q8IZJ1	252	362	0.3858020818181818
Q8N1N2	12	78	0.34018250000000005
Q8N1N2	120	152	0.3041660625
Q8NAF0	38	86	0.29115275
Q8NAF0	233	251	0.2537006111111111
Q8NAF0	264	312	0.2728655416666667
Q8NAF0	375	426	0.33210937254901957
Q9BRZ2	88	146	0.5943562931034483
Q9BT23	29	48	0.30415200000000003
Q9UL59	237	286	0.3899477755102041
Q9Y5H7	722	740	0.25012283333333335
D6RCP7	34	61	0.271931037037037
O43915	178	353	0.6273997542857143
P51970	28	62	0.2851214411764706
Q53GD3	105	128	0.3471808695652174
Q5EBM0	65	94	0.24815989655172413
Q5TC79	420	464	0.26228861363636363
Q8N823	222	384	0.44994419753086423
Q96C00	375	397	0.30524195454545455
Q96C00	429	455	0.41933165384615384
Q96QE4	510	535	0.34273008
Q96QE4	735	756	0.33251699999999995
Q9NZV7	304	410	0.3582111886792453
Q9NZV7	454	526	0.4698229861111111
Q9UK11	139	191	0.35721273076923077
Q9UK11	209	316	0.41524540186915887
Q9Y297	32	114	0.2836932195121951
A6NC57	426	444	0.26491105555555555
O00321	167	241	0.21285020270270272
O14545	2	144	0.46748714788732393
O14545	282	321	0.23987746153846154
O14545	359	398	0.2581488717948718
O43283	696	744	0.3477483125
O43283	900	959	0.22894003389830508
P08588	440	476	0.2610815555555555
P0DH78	102	155	0.4713225471698113
P25445	42	172	0.6256538076923077
Q03828	376	401	0.3421264
Q13114	42	248	0.4742190291262136
Q13118	154	179	0.25678528
Q13118	191	221	0.23624313333333333
Q13118	360	415	0.2501357454545455
Q2TV78	293	318	0.47259976000000004
Q2TV78	415	481	0.2856690151515151
Q2YD98	220	262	0.26547514285714285
Q5VTJ3	503	519	0.3676284375
Q659A1	558	593	0.26190574285714285
Q7Z4F1	308	435	0.5733947716535432
Q96NJ3	179	246	0.2960182537313433
Q96NJ3	503	554	0.3956250392156863
Q9BY79	11	43	0.24858053125
Q9BY79	412	472	0.43991416666666666
Q9Y6F6	0	16	0.2763918125
O14512	22	42	0.34744685
O14512	69	89	0.371867
O43638	201	224	0.21550200000000003
O43766	95	153	0.2777588103448276
O75078	432	592	0.62335919375
O75078	622	718	0.43120828125
P55285	580	600	0.2781902
Q5H8A4	597	637	0.22158575000000003
Q64ET8	1	26	0.28264627999999997
Q86YH2	334	380	0.40148345652173917
Q86YH2	390	429	0.3381324358974359
Q86YH2	448	491	0.31818837209302325
Q8N878	502	542	0.255251875
Q99675	310	328	0.36877649999999995
Q9BV97	172	189	0.3256407647058823
Q9BV97	200	251	0.33365999999999996
Q9Y2H8	192	216	0.2579179166666667
Q9Y2H8	245	278	0.23295593939393938
Q9Y2H8	395	474	0.40111901265822786
Q9Y5Y6	442	613	0.6283512690058479
A9YTQ3	342	364	0.29006659090909087
A9YTQ3	426	446	0.38371945
A9YTQ3	512	557	0.2705261111111111
A9YTQ3	605	655	0.37373165999999997
P78386	0	39	0.4711421794871795
P78386	424	463	0.2826557435897436
P78386	475	504	0.37148996551724134
Q496H8	0	17	0.7024950588235294
