Accession_number	Region	Domain
A6NGW2	[315, 361]	No_PFAM_overlap
A6NGW2	[494, 525]	No_PFAM_overlap
A6NGW2	[1106, 1130]	No_PFAM_overlap
A6NGW2	[1425, 1480]	No_PFAM_overlap
A6NIY4	[135, 159]	No_PFAM_overlap
O43182	[181, 196]	No_PFAM_overlap
O43182	[236, 257]	No_PFAM_overlap
O43304	[216, 232]	No_PFAM_overlap
O43304	[656, 676]	No_PFAM_overlap
O43827	[110, 133]	Fibrinogen beta and gamma chains, C-terminal globular domain
O75093	[241, 306]	Leucine rich repeat N-terminal domain
O75093	[460, 545]	Leucine rich repeat C-terminal domain
O75093	[704, 753]	Leucine rich repeat N-terminal domain
O75093	[886, 1164]	Human growth factor-like EGF
O75093	[1330, 1532]	No_PFAM_overlap
O75678	[77, 160]	RFPL defining motif (RDM)
O75678	[345, 366]	SPRY domain
P04275	[187, 392]	C8 domain
P04275	[518, 750]	C8 domain
P04275	[761, 863]	Von Willebrand factor-like domain
P04275	[1013, 1263]	C8 domain
P04275	[1900, 1954]	von Willebrand factor type D domain
P04275	[2156, 2587]	C8 domain
P04275	[2614, 2812]	von Willebrand factor type C domain
P0C875	[208, 234]	No_PFAM_overlap
P58005	[6, 44]	PA26 p53-induced protein (sestrin)
Q05329	[44, 91]	No_PFAM_overlap
Q13018	[208, 233]	Fibronectin type II domain
Q14585	[0, 65]	Zinc finger, C2H2 type
Q14585	[76, 487]	Zinc finger, C2H2 type
Q15818	[27, 80]	No_PFAM_overlap
Q16394	[87, 104]	No_PFAM_overlap
Q53EZ4	[440, 463]	No_PFAM_overlap
Q7Z7K2	[148, 321]	Zinc finger, C2H2 type
Q7Z7K2	[349, 392]	No_PFAM_overlap
Q7Z7K2	[426, 563]	Zinc finger, C2H2 type
Q8IWV7	[572, 601]	No_PFAM_overlap
Q8IWV7	[1088, 1149]	No_PFAM_overlap
Q8IXZ3	[330, 433]	Zinc finger, C2H2 type
Q8N4H0	[138, 157]	No_PFAM_overlap
Q8NAF0	[211, 244]	No_PFAM_overlap
Q8NAF0	[267, 320]	Zinc finger, C2H2 type
Q8NAF0	[381, 468]	Zinc finger, C2H2 type
Q8WWI1	[545, 579]	No_PFAM_overlap
Q8WWI1	[593, 648]	Domain of unknown function (DUF4757)
Q96Q89	[644, 673]	No_PFAM_overlap
Q9BRZ2	[1, 232]	RING-type zinc-finger
Q9BRZ2	[342, 369]	No_PFAM_overlap
Q9BRZ2	[485, 529]	No_PFAM_overlap
Q9C0I4	[123, 264]	Spondin-like TSP1 domain
Q9C0I4	[304, 899]	Spondin-like TSP1 domain
Q9P203	[615, 643]	No_PFAM_overlap
Q9UL59	[212, 603]	Zinc finger, C2H2 type
A0A1W2PQ72	[108, 125]	No_PFAM_overlap
O00411	[153, 193]	No_PFAM_overlap
O43915	[107, 343]	CXCXC repeat
O75069	[215, 236]	No_PFAM_overlap
O75179	[226, 248]	No_PFAM_overlap
Q09MP3	[36, 79]	No_PFAM_overlap
Q09MP3	[312, 380]	No_PFAM_overlap
Q09MP3	[693, 720]	No_PFAM_overlap
Q09MP3	[762, 832]	No_PFAM_overlap
Q09MP3	[1138, 1158]	RAD51 interacting motif
Q12802	[245, 278]	No_PFAM_overlap
Q12802	[1799, 1842]	No_PFAM_overlap
Q15723	[298, 336]	No_PFAM_overlap
Q15723	[460, 485]	No_PFAM_overlap
Q5EBM0	[30, 54]	No_PFAM_overlap
Q5EBM0	[178, 221]	No_PFAM_overlap
Q5I0X7	[34, 60]	Tetratricopeptide repeat
Q5TC79	[385, 458]	Zinc finger, C2H2 type
Q6ZUB1	[290, 325]	No_PFAM_overlap
Q6ZUB1	[1348, 1374]	No_PFAM_overlap
Q8N823	[67, 124]	No_PFAM_overlap
Q8N823	[228, 703]	Zinc finger, C2H2 type
Q8WTW3	[622, 642]	No_PFAM_overlap
Q92918	[803, 821]	No_PFAM_overlap
Q92954	[21, 109]	Somatomedin B domain
Q96C00	[384, 463]	No_PFAM_overlap
Q96LP6	[11, 121]	Domain of unknown function (DUF4607)
Q96QE4	[515, 554]	No_PFAM_overlap
Q96QE4	[734, 762]	No_PFAM_overlap
Q9NQ11	[874, 910]	No_PFAM_overlap
Q9NZV7	[325, 412]	C2H2-type zinc finger
Q9NZV7	[442, 526]	Zinc finger, C2H2 type
Q9UK11	[87, 118]	No_PFAM_overlap
Q9UK11	[143, 481]	Zinc finger, C2H2 type
Q9Y297	[1, 136]	No_PFAM_overlap
A0AAQ5BHU3	[942, 990]	Retro-transcribing viruses envelope glycoprotein
A6NC57	[400, 444]	No_PFAM_overlap
M0R2J8	[920, 975]	No_PFAM_overlap
M0R2J8	[1093, 1117]	No_PFAM_overlap
M0R2J8	[1149, 1172]	No_PFAM_overlap
O00451	[145, 359]	GDNF/GAS1 domain
O14545	[0, 142]	TRAFD1/XAF1, zinc finger
O14545	[239, 304]	No_PFAM_overlap
O75969	[0, 26]	No_PFAM_overlap
O75969	[106, 121]	No_PFAM_overlap
O75969	[141, 186]	A-kinase anchor protein 110 kDa (AKAP 110)
P0DH78	[15, 87]	RING-type zinc-finger
P20701	[1000, 1018]	No_PFAM_overlap
P24278	[327, 414]	Zinc finger, C2H2 type
P25445	[40, 191]	TNFR/NGFR cysteine-rich region
Q13114	[137, 266]	TRAF-type zinc finger
Q13118	[372, 462]	Zinc finger, C2H2 type
Q14957	[418, 448]	No_PFAM_overlap
Q14957	[1103, 1179]	No_PFAM_overlap
Q15849	[77, 96]	No_PFAM_overlap
Q2TV78	[42, 250]	Kringle domain
Q2TV78	[289, 318]	No_PFAM_overlap
Q2TV78	[461, 481]	No_PFAM_overlap
Q2YD98	[185, 209]	No_PFAM_overlap
Q2YD98	[298, 315]	No_PFAM_overlap
Q5THR3	[971, 999]	No_PFAM_overlap
Q5VVW2	[441, 488]	No_PFAM_overlap
Q659A1	[358, 397]	No_PFAM_overlap
Q7Z4F1	[312, 430]	Low-density lipoprotein receptor domain class A
Q8TC92	[59, 143]	No_PFAM_overlap
Q8TDJ6	[2776, 2791]	No_PFAM_overlap
Q8WXS8	[463, 742]	ADAMTS cysteine-rich domain
Q8WXS8	[861, 1100]	Thrombospondin type 1 domain
Q96L91	[2385, 2430]	No_PFAM_overlap
Q96NJ3	[173, 202]	No_PFAM_overlap
Q96NJ3	[222, 587]	Zinc finger, C2H2 type
Q9BY79	[419, 474]	Fz domain
Q9P2E3	[1255, 1575]	No_PFAM_overlap
Q9P2P1	[1022, 1071]	No_PFAM_overlap
Q9Y6Q9	[169, 284]	PAS domain
A5YM72	[217, 266]	No_PFAM_overlap
A5YM72	[524, 547]	No_PFAM_overlap
A5YM72	[783, 802]	No_PFAM_overlap
A8MWY0	[54, 142]	ELAPOR1-like, galactose-binding domain
A8MWY0	[285, 437]	ELAPOR1-like, galactose-binding domain
A8MWY0	[594, 677]	ELAPOR1-like, galactose binding domain
O14512	[367, 387]	No_PFAM_overlap
O60309	[823, 864]	No_PFAM_overlap
O60309	[1042, 1073]	No_PFAM_overlap
O75078	[140, 212]	Reprolysin family propeptide
O75078	[420, 592]	ADAM cysteine-rich
O75078	[656, 715]	Teneurin-like EGF domain
P16615	[324, 356]	No_PFAM_overlap
P17081	[185, 204]	No_PFAM_overlap
P55285	[577, 603]	Cadherin domain
P98164	[20, 376]	Low-density lipoprotein receptor domain class A
P98164	[967, 1425]	Low-density lipoprotein receptor domain class A
P98164	[2625, 3199]	Low-density lipoprotein receptor domain class A
P98164	[3464, 4056]	Low-density lipoprotein receptor domain class A
P98164	[4336, 4425]	No_PFAM_overlap
Q03426	[318, 395]	GHMP kinases C terminal
Q14865	[225, 250]	No_PFAM_overlap
Q14865	[616, 660]	No_PFAM_overlap
Q5H8A4	[602, 629]	No_PFAM_overlap
Q86YH2	[290, 485]	No_PFAM_overlap
Q8N4C7	[276, 293]	No_PFAM_overlap
Q8TEB1	[130, 147]	No_PFAM_overlap
Q8WWU5	[43, 77]	T-complex protein 11
Q96A70	[428, 456]	No_PFAM_overlap
Q9BV97	[173, 285]	Zinc finger, C2H2 type
Q9BV97	[313, 329]	No_PFAM_overlap
Q9UJJ9	[125, 155]	Glucosidase II beta subunit-like protein
Q9UKV0	[636, 664]	Histone deacetylase domain
Q9Y2H8	[131, 270]	No_PFAM_overlap
