Common proteins	Only by Iupred2a	Only by Aiupred
A6NGW2	A0A0J9YXV3	O43182
O75093	P49821	O43304
O75678	Q7RTU4	O43827
P04275	Q8N1N2	P01135
Q05329	Q9Y5H7	P0C875
Q14585	A0A286YF77	P58005
Q5T0L3	O43820	Q13018
Q5VWG9	P51970	Q15818
Q6UWY2	Q5TCM9	Q16394
Q6ZMT1	Q8TF21	Q53EZ4
Q7Z7K2	Q9H0E9	Q53HC9
Q8IWV7	A0A1B0GVY7	Q8N4H0
Q8IXZ3	O00321	Q9P203
Q8IZ63	O43283	O00411
Q8IZJ1	P08588	O94832
Q8NAF0	P24723	P49720
Q8WWI1	Q03828	P78424
Q9BRZ2	Q2YD98	Q15723
Q9BT23	Q5VTJ3	Q30KP8
Q9C0I4	Q8TDJ6	Q5H9L4
Q9NRY6	Q9Y6F6	Q5I0X7
Q9UL59	O14727	Q5SWX8
D6RCP7	O43766	Q8NCX0
O43915	P26371	Q8WTW3
P06858	P29274	Q96LP6
Q09MP3	Q5SQ80	Q9H2C1
Q12802	Q64ET8	Q9HCI6
Q53GD3	Q8N878	Q9NQ11
Q5EBM0	Q8TEX9	A0AAQ5BHU3
Q5TC79	A0A286YEV6	A8MVZ5
Q6ZUB1	A9YTQ3	M0R2J8
Q8N823	O95445	O75969
Q92918	Q496H8	O95677
Q92954	P22528	P24278
Q96C00	Q96BW5	Q15849
Q96QE4	O15021	Q2WGJ6
Q9BYR6	P0DPI3	Q6ZWI9
Q9NZV7	Q400G9	Q8N8G6
Q9UK11	Q5T764	Q8NCW6
Q9Y297	Q86VQ1	Q8TAS1
A6NC57	Q8N3Y3	Q8TC92
O00451	Q9NRQ2	Q96L91
O14545	O94875	Q9NY46
O95274	P10600	Q9P2P1
P0DH78	Q6ZRV3	Q9UKV8
P20701	Q86XT9	Q9Y6Q9
P25445	Q96BR5	A0FGR8
Q01955	Q9BZA0	A5YM72
Q13114	A0AAG2UYG2	P16615
Q13118	Q5FWF5	P17081
Q14957	Q86WR7	P43268
Q15878	A0AAG2TV48	P57764
Q2TV78	O76096	Q03426
Q5VVW2	Q8IW03	Q8N4C7
Q659A1	Q8N5Z5	Q8TEB1
Q6PEW0	Q96KS0	Q96A70
Q7Z4F1	Q9NQZ6	Q9UJJ9
Q86UF1	A0A0J9YWL9	Q9UKV0
Q8NBB4	P03999	A6NCL7
Q8WXS8	P42681	P36269
Q96LS8	Q6P6B7	Q15366
Q96NJ3	Q9BQ31	Q5VXU9
Q9BY79	Q9BYQ3	Q8IZ73
Q9P2E3	P31276	Q8WUF8
A0A1B0GUW6	P59020	Q8WUM9
A8MWY0	Q96PT3	Q9C0I3
O00222	A0A286YF46	Q9HA64
O14512	P0DV74	Q9P2D3
O43638	P35372	Q9Y5H2
O60309	Q6DN03	A0ABB0MV19
O75078	Q6ZNG2	O94911
P10912	Q6ZS02	O95487
P55285	Q7Z434	P01036
P55773	Q9BYR2	P15391
P98073	Q9C086	P20774
P98164	Q9NQF3	Q12918
Q14865	Q1RN00	Q86X10
Q15031	Q495Z4	Q8IXI1
Q5H8A4	Q5TA81	Q8NHL6
Q6UXB8	Q96MH2	Q96SZ5
Q86YH2	Q9BYQ8	Q9BRP4
Q99675	P45880	Q9NTG1
Q9BV97	P50579	A6NI73
Q9UHB6	Q53GT1	O15528
Q9Y2H8	Q8N9F0	O75528
Q9Y5Y6	Q9GZZ6	P0C7U3
A2VDJ0	A0A096LP55	P25398
A6NCW7	Q8NDY8	P25940
P26436	Q92963	Q08357
P55055	Q9BYR5	Q7Z6R9
P78386	Q9WJR5	Q8N9Z9
Q07954	P98077	Q96QU8
Q13535	Q9NVF9	Q9NQR9
Q3BBV2	Q9UN74	Q9P2L0
Q5VV67	B1AJZ9	Q9UIB8
Q6P9F0	O43248	Q9UKG1
Q6PK81	O75564	Q9UL18
Q6ZVN8	P19013	A0A096LP49
Q76I76	Q96N19	A0A5A2
Q7RTV3	Q9UGC6	A6NI61
Q8N7R7	P81172	P01871
Q8NEC7	Q96GL9	Q13117
Q8NG08	A8MUL3	Q86UE6
Q9BYW3	O14513	Q96EX2
Q9H5I1	O75113	Q9BUA6
Q9HCU4	Q3B8N5	Q9Y2G3
Q9UH90	Q96JK2	P22304
Q9UMW8	Q9BXR0	Q08999
Q9Y252	Q9UJM3	Q09327
A8MQ14	Q9UN75	Q5D0E6
O43155	O94916	Q5UE93
O43291	P01100	Q86YW7
O60242	Q01151	Q8IVU3
P02748	Q6ICB4	Q8NBT3
P20155	Q8N8Z3	Q96BZ4
Q06730	Q969H9	Q96SM3
Q06732	P54257	Q9H8X2
Q0VG06	A2RUT3	Q9HC10
Q0VGE8	A6NKF1	Q9NRX5
Q13115	P51460	Q9P244
Q2QGD7	Q17R55	Q9ULH4
Q5SVZ6	Q3KNW5	A0A3B3IRS2
Q5VWM6	Q9UBS9	A6NCL1
Q5W0U4	D6RGX4	O15244
Q6S9Z5	P52798	O75460
Q6ZMQ8	Q5GLZ8	O94956
Q8IVF1	Q96QU4	O95156
Q8N813	O75473	P09543
Q8NER5	O95620	P51816
Q8TDY4	P07333	P55196
Q8TER0	P41143	Q12769
Q9H6E5	Q5W150	Q5K651
Q9H9J4	Q7Z5A4	Q86WS3
Q9HBE5	Q8N814	Q8NFP7
Q9NRE2	Q8N9P0	Q9UL17
Q9UBS8	Q8NF67	P00519
C9JVI0	A6NGY1	P01733
D6RBQ6	Q15464	P16471
O15014	Q6ZSJ9	P50151
O15079	P63136	Q00532
P07327	Q5T753	Q13888
P56715	Q6RVD6	Q8TEA1
Q5VW22	Q96QB1	Q8WVN8
Q76L83	P29474	Q8WYQ5
Q96CS7	Q12809	Q96FL9
Q9H8J5	Q5VUB5	Q96N67
Q9NQ32	Q9BVS4	Q99784
Q9NRR2	Q9H2A7	Q9BZQ8
Q9UMS6	O94900	Q9NSD7
Q9Y5U5	Q5JTZ5	Q9UHA3
A0A1B0GTH6	Q6L8H1	Q9UI42
O00548	Q8N6U2	O43307
O00755	Q96NN9	P0C7V9
O15537	E9PI22	P11926
O43526	P22531	P30511
O43866	P55056	Q14953
O75095	Q6ZS81	Q53RY4
P57682	Q86UU5	Q63HN1
Q14584	Q8WXX7	Q7RTS6
Q15139	Q8WY36	Q8WWB7
Q15910	O00287	Q9H0W7
Q2KHN1	P07919	Q9P0L9
Q68CJ9	P81534	Q9UNQ0
Q6ZMP0	Q5H913	Q9Y442
Q6ZVT6	Q86U70	P01699
Q6ZWJ8	Q969T3	P08648
Q86XK2	P46092	P31267
Q8IU81	Q13516	P50851
Q96GW7	Q5JNZ5	Q15437
Q9BYD5	Q86W56	Q3ZCV2
Q9P2D0	Q8IWL2	Q5SRN2
Q9UBX7	Q969W9	Q6NUS6
A0A2U3TZM8	Q9BXR3	Q8IVF6
A0A3B3IT33	K9M1U5	Q8NCT3
A8MUK1	P0DXC3	Q8WTQ7
Q01973	Q8WXH6	Q96EY4
Q05707	Q9BYQ7	A1L157
Q14315	Q9HBB8	O15056
Q15661	A6NKU9	O94889
Q15813	P01732	P14618
Q16671	P35368	P35713
Q38SD2	Q96N68	P38567
Q4G163	Q9BXU1	P51861
Q4KMG0	Q9BYQ9	Q6IQ55
Q5W111	A2RUB6	Q8NE63
Q7RTY5	O43435	Q8TCX5
Q96T88	Q9BYQ4	Q96D21
Q9BTC0	A8MXZ3	Q96LD1
O75326	E9PGG2	Q9NR21
P07204	G5E9R7	Q9NSK0
P0CH99	Q15517	Q9NYL9
P15289	Q5TA82	Q9UI36
P51888	Q8TB22	A2RUB1
Q13822	Q9ULX3	O15117
Q14314	Q9UND3	O15194
Q16515	O95571	P26599
Q6ZN32	Q5TGY3	P85299
Q7Z407	Q658T7	Q13214
Q7Z4I7	Q8N8I6	Q5JR12
Q8TBP0	Q13461	Q6P5X7
Q9BR61	Q86YD7	Q8N302
Q9HBH9	Q8N9V3	P14415
Q9UPT8	Q8NEA9	Q5TYX0
Q03923	Q96EV8	Q86Z14
Q15283	Q9ULJ1	Q8TBZ0
Q3YBR2	Q9Y6X2	Q96B67
Q60I27	A8MXQ7	Q96LA5
Q6IPT4	O60294	Q96RT1
Q8N8U9	Q3ZCQ2	Q9GZU7
Q96LM9	Q49A92	Q9HCM9
Q96P44	Q86UD7	P22897
