Accession_number	Region	Domain
O43182	[181, 196]	No_Gene3D_overlap
O43182	[236, 257]	No_Gene3D_overlap
O43304	[216, 232]	CRAL-TRIO lipid binding domain
O43304	[656, 676]	No_Gene3D_overlap
O75093	[241, 306]	Ribonuclease Inhibitor
O75093	[460, 545]	Ribonuclease Inhibitor
O75093	[704, 753]	Ribonuclease Inhibitor
O75093	[886, 1164]	Laminin
O75093	[1330, 1532]	Laminin
P04275	[187, 392]	Laminin
P04275	[518, 750]	Laminin
P04275	[1013, 1263]	Laminin
P04275	[1900, 1954]	No_Gene3D_overlap
P04275	[2156, 2587]	Laminin
P04275	[2614, 2812]	No_Gene3D_overlap
P58005	[6, 44]	No_Gene3D_overlap
Q05329	[44, 91]	No_Gene3D_overlap
Q14585	[0, 65]	Classic Zinc Finger
Q14585	[76, 487]	Classic Zinc Finger
Q15818	[27, 80]	No_Gene3D_overlap
Q16394	[87, 104]	No_Gene3D_overlap
Q53EZ4	[440, 463]	No_Gene3D_overlap
Q6ZMT1	[371, 410]	No_Gene3D_overlap
Q7Z7K2	[148, 321]	Classic Zinc Finger
Q7Z7K2	[426, 563]	Classic Zinc Finger
Q8IWV7	[572, 601]	No_Gene3D_overlap
Q8IWV7	[1088, 1149]	No_Gene3D_overlap
Q8IXZ3	[330, 433]	Classic Zinc Finger
Q8NAF0	[211, 244]	No_Gene3D_overlap
Q8NAF0	[381, 468]	Classic Zinc Finger
Q8WWI1	[545, 579]	No_Gene3D_overlap
Q8WWI1	[593, 648]	No_Gene3D_overlap
Q96Q89	[644, 673]	No_Gene3D_overlap
Q9BRZ2	[1, 232]	Zinc/RING finger domain, C3HC4 (zinc finger)
Q9BRZ2	[342, 369]	No_Gene3D_overlap
Q9C0I4	[38, 92]	No_Gene3D_overlap
Q9C0I4	[123, 264]	Thrombospondin type-1 (TSP1) repeat
Q9C0I4	[304, 899]	Thrombospondin type-1 (TSP1) repeat
Q9P203	[615, 643]	No_Gene3D_overlap
Q9UL59	[212, 603]	Classic Zinc Finger
A0A1W2PQ72	[108, 125]	No_Gene3D_overlap
O00411	[153, 193]	No_Gene3D_overlap
O43915	[107, 343]	Cystine-knot cytokines
O94832	[960, 998]	No_Gene3D_overlap
P06858	[447, 474]	PLAT/LH2 domain
Q12802	[245, 278]	No_Gene3D_overlap
Q15723	[298, 336]	Winged helix-like DNA-binding domain superfamily/Winged helix DNA-binding domain
Q15723	[460, 485]	No_Gene3D_overlap
Q5EBM0	[30, 54]	No_Gene3D_overlap
Q5EBM0	[178, 221]	No_Gene3D_overlap
Q5TC79	[385, 458]	Classic Zinc Finger
Q8N823	[67, 124]	-
Q8N823	[228, 703]	Classic Zinc Finger
Q92918	[594, 621]	No_Gene3D_overlap
Q92918	[803, 821]	No_Gene3D_overlap
Q92954	[21, 109]	-
Q9NZV7	[325, 412]	Classic Zinc Finger
Q9NZV7	[442, 526]	Classic Zinc Finger
Q9UK11	[87, 118]	No_Gene3D_overlap
Q9UK11	[143, 481]	Classic Zinc Finger
Q9Y297	[1, 136]	-
A0AAQ5BHU3	[942, 990]	No_Gene3D_overlap
A6NC57	[400, 444]	No_Gene3D_overlap
M0R2J8	[920, 975]	No_Gene3D_overlap
M0R2J8	[1093, 1117]	No_Gene3D_overlap
O00451	[28, 87]	No_Gene3D_overlap
O14545	[0, 142]	Zinc/RING finger domain, C3HC4 (zinc finger)
O14545	[239, 304]	No_Gene3D_overlap
P25445	[40, 191]	Tumor Necrosis Factor Receptor, subunit A, domain 2
Q13114	[137, 266]	Zinc/RING finger domain, C3HC4 (zinc finger)
Q13118	[372, 462]	Classic Zinc Finger
Q14957	[1103, 1179]	No_Gene3D_overlap
Q15849	[77, 96]	Ammonium transporter AmtB like domains
Q2TV78	[42, 250]	Plasminogen Kringle 4
Q2YD98	[185, 209]	No_Gene3D_overlap
Q2YD98	[298, 315]	No_Gene3D_overlap
Q5VVW2	[441, 488]	No_Gene3D_overlap
Q7Z4F1	[312, 430]	Low-density Lipoprotein Receptor
Q8TC92	[59, 143]	-
Q8WXS8	[463, 742]	-
Q8WXS8	[861, 1100]	Thrombospondin type-1 (TSP1) repeat
Q96NJ3	[173, 202]	No_Gene3D_overlap
Q96NJ3	[222, 587]	Classic Zinc Finger
Q9NY46	[1165, 1195]	No_Gene3D_overlap
Q9P2E3	[1255, 1575]	P-loop containing nucleotide triphosphate hydrolases
Q9P2E3	[1854, 1893]	No_Gene3D_overlap
Q9P2P1	[1022, 1071]	No_Gene3D_overlap
Q9UKV8	[355, 371]	No_Gene3D_overlap
